# Time (s), Energy (keV), Sun X (arcsec), Sun Y (arcsec), Start Time, End Time, Min X, Max X, Min Y, Max Y
1.525736891785633564e+08,3.320000000000000284e+00,8.720699999999999363e+02,-1.931099999999999852e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736892430642247e+08,2.879999999999999893e+00,9.581699999999999591e+02,-2.054099999999999966e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736892767545581e+08,3.480000000000000426e+00,9.753899999999999864e+02,-2.964300000000000068e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736895302832127e+08,3.400000000000000355e+00,9.015900000000000318e+02,-4.095899999999999750e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736895523307323e+08,2.799999999999999822e+00,8.819099999999999682e+02,-4.022099999999999795e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736896996419132e+08,3.120000000000000107e+00,7.146299999999999955e+02,8.240999999999999659e+01,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736897446028590e+08,2.799999999999999822e+00,9.753899999999999864e+02,1.229999999999999982e+00,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736897798665464e+08,2.799999999999999822e+00,1.349309999999999945e+03,-3.234900000000000091e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736898804872036e+08,2.959999999999999964e+00,6.285299999999999727e+02,-2.669099999999999682e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736899778721929e+08,3.000000000000000000e+00,1.177109999999999900e+03,-2.890500000000000114e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736900486284792e+08,2.680000000000000160e+00,9.729299999999999500e+02,-1.463700000000000045e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736900597254634e+08,2.680000000000000160e+00,9.040499999999999545e+02,-2.693700000000000045e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
1.525736901447102726e+08,2.799999999999999822e+00,8.671499999999999773e+02,-2.792099999999999795e+02,1.525736891785633564e+08,1.525744795500130355e+08,5.350499999999999545e+02,1.371450000000000045e+03,-6.383700000000000045e+02,1.808100000000000023e+02
