# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,6.084759235382080078e-01
1.639999985694885254e+00,8.266146779060363770e-01
1.680000066757202148e+00,1.119758605957031250e+00
1.720000028610229492e+00,1.512866973876953125e+00
1.759999990463256836e+00,2.011295318603515625e+00
1.799999952316284180e+00,2.499094486236572266e+00
1.840000033378601074e+00,1.536047697067260742e+00
1.879999995231628418e+00,1.922111749649047852e+00
1.920000076293945312e+00,2.465737104415893555e+00
1.960000038146972656e+00,3.068394184112548828e+00
2.000000000000000000e+00,3.754102230072021484e+00
2.039999961853027344e+00,4.554536819458007812e+00
2.079999923706054688e+00,5.519802093505859375e+00
2.119999885559082031e+00,4.778012275695800781e+00
2.160000085830688477e+00,5.509806632995605469e+00
2.200000047683715820e+00,5.625598430633544922e+00
2.240000009536743164e+00,6.389424324035644531e+00
2.279999971389770508e+00,7.278628349304199219e+00
2.319999933242797852e+00,8.371561050415039062e+00
2.360000133514404297e+00,9.426102638244628906e+00
2.400000095367431641e+00,1.043330574035644531e+01
2.440000057220458984e+00,1.157546615600585938e+01
2.480000019073486328e+00,1.291804313659667969e+01
2.519999980926513672e+00,1.455051040649414062e+01
2.559999942779541016e+00,1.633816909790039062e+01
2.599999904632568359e+00,1.796150207519531250e+01
2.639999866485595703e+00,1.810840606689453125e+01
2.679999828338623047e+00,1.971968841552734375e+01
2.720000028610229492e+00,2.145180511474609375e+01
2.759999990463256836e+00,2.332305908203125000e+01
2.799999952316284180e+00,2.533382415771484375e+01
2.840000152587890625e+00,2.741138839721679688e+01
2.880000114440917969e+00,2.921813583374023438e+01
2.920000076293945312e+00,3.110269927978515625e+01
2.960000038146972656e+00,3.309801864624023438e+01
3.000000000000000000e+00,3.516508102416992188e+01
3.039999961853027344e+00,3.608493423461914062e+01
3.079999923706054688e+00,3.803852844238281250e+01
3.119999885559082031e+00,4.005367279052734375e+01
3.159999847412109375e+00,4.169540405273437500e+01
3.199999809265136719e+00,4.337633514404296875e+01
3.240000009536743164e+00,4.509840011596679688e+01
3.279999971389770508e+00,4.615088653564453125e+01
3.319999933242797852e+00,4.912225341796875000e+01
3.360000133514404297e+00,5.225803756713867188e+01
3.400000095367431641e+00,5.554658889770507812e+01
3.440000057220458984e+00,5.784327697753906250e+01
3.480000019073486328e+00,5.943265914916992188e+01
3.519999980926513672e+00,5.747147750854492188e+01
3.559999942779541016e+00,5.905393981933593750e+01
3.599999904632568359e+00,6.069205474853515625e+01
