# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,6.519860029220581055e-01
1.639999985694885254e+00,9.051646590232849121e-01
1.680000066757202148e+00,1.251946091651916504e+00
1.720000028610229492e+00,1.725503563880920410e+00
1.759999990463256836e+00,2.335818529129028320e+00
1.799999952316284180e+00,2.942295551300048828e+00
1.840000033378601074e+00,1.630129218101501465e+00
1.879999995231628418e+00,2.079618930816650391e+00
1.920000076293945312e+00,2.716279745101928711e+00
1.960000038146972656e+00,3.428885459899902344e+00
2.000000000000000000e+00,4.249701023101806641e+00
2.039999961853027344e+00,5.220294475555419922e+00
2.079999923706054688e+00,6.403172492980957031e+00
2.119999885559082031e+00,5.837759017944335938e+00
2.160000085830688477e+00,6.786594867706298828e+00
2.200000047683715820e+00,7.085864067077636719e+00
2.240000009536743164e+00,8.120018959045410156e+00
2.279999971389770508e+00,9.330581665039062500e+00
2.319999933242797852e+00,1.082091045379638672e+01
2.360000133514404297e+00,1.227026557922363281e+01
2.400000095367431641e+00,1.366199588775634766e+01
2.440000057220458984e+00,1.523846054077148438e+01
2.480000019073486328e+00,1.708120155334472656e+01
2.519999980926513672e+00,1.930241966247558594e+01
2.559999942779541016e+00,2.174429512023925781e+01
2.599999904632568359e+00,2.395958518981933594e+01
2.639999866485595703e+00,2.443156814575195312e+01
2.679999828338623047e+00,2.665124702453613281e+01
2.720000028610229492e+00,2.903770256042480469e+01
2.759999990463256836e+00,3.161948776245117188e+01
2.799999952316284180e+00,3.440024185180664062e+01
2.840000152587890625e+00,3.727528381347656250e+01
2.880000114440917969e+00,3.975539779663085938e+01
2.920000076293945312e+00,4.236030960083007812e+01
2.960000038146972656e+00,4.512055587768554688e+01
3.000000000000000000e+00,4.807485198974609375e+01
3.039999961853027344e+00,4.977159118652343750e+01
3.079999923706054688e+00,5.275283050537109375e+01
3.119999885559082031e+00,5.582774353027343750e+01
3.159999847412109375e+00,5.837298583984375000e+01
3.199999809265136719e+00,6.099873352050781250e+01
3.240000009536743164e+00,6.370876693725585938e+01
3.279999971389770508e+00,6.562043762207031250e+01
3.319999933242797852e+00,6.953580474853515625e+01
3.360000133514404297e+00,7.365340423583984375e+01
3.400000095367431641e+00,7.796385192871093750e+01
3.440000057220458984e+00,8.112366485595703125e+01
3.480000019073486328e+00,8.335255432128906250e+01
3.519999980926513672e+00,8.030023956298828125e+01
3.559999942779541016e+00,8.249834442138671875e+01
3.599999904632568359e+00,8.477902221679687500e+01
3.639999866485595703e+00,8.708994293212890625e+01
3.679999828338623047e+00,8.943410491943359375e+01
3.719999790191650391e+00,8.903951263427734375e+01
3.759999752044677734e+00,9.144332885742187500e+01
3.800000190734863281e+00,9.353677368164062500e+01
3.840000152587890625e+00,9.541477966308593750e+01
3.880000114440917969e+00,9.729567718505859375e+01
3.920000076293945312e+00,9.974336242675781250e+01
3.960000038146972656e+00,1.024076614379882812e+02
4.000000000000000000e+00,1.036060867309570312e+02
4.039999961853027344e+00,1.062200851440429688e+02
4.079999923706054688e+00,1.088675842285156250e+02
4.119999885559082031e+00,1.115618362426757812e+02
4.159999847412109375e+00,1.142608795166015625e+02
4.199999809265136719e+00,1.165886077880859375e+02
4.239999771118164062e+00,1.189318389892578125e+02
4.279999732971191406e+00,1.212967376708984375e+02
4.320000171661376953e+00,1.185625534057617188e+02
4.360000133514404297e+00,1.190466003417968750e+02
4.400000095367431641e+00,1.210261459350585938e+02
4.440000057220458984e+00,1.230179901123046875e+02
4.480000019073486328e+00,1.250333480834960938e+02
4.519999980926513672e+00,1.270783615112304688e+02
4.559999942779541016e+00,1.291215515136718750e+02
4.599999904632568359e+00,1.273728790283203125e+02
4.639999866485595703e+00,1.292297210693359375e+02
4.679999828338623047e+00,1.309089660644531250e+02
4.719999790191650391e+00,1.325673828125000000e+02
4.759999752044677734e+00,1.342265014648437500e+02
4.799999713897705078e+00,1.358862152099609375e+02
4.840000152587890625e+00,1.375377502441406250e+02
4.880000114440917969e+00,1.391860656738281250e+02
4.920000076293945312e+00,1.390981903076171875e+02
4.960000038146972656e+00,1.407577819824218750e+02
5.000000000000000000e+00,1.423796997070312500e+02
5.039999961853027344e+00,1.440832672119140625e+02
5.079999923706054688e+00,1.456771240234375000e+02
5.119999885559082031e+00,1.472617034912109375e+02
5.159999847412109375e+00,1.488421630859375000e+02
5.199999809265136719e+00,1.504161834716796875e+02
5.239999771118164062e+00,1.519852447509765625e+02
5.279999732971191406e+00,1.535540924072265625e+02
5.320000171661376953e+00,1.551269989013671875e+02
5.360000133514404297e+00,1.566997070312500000e+02
5.400000095367431641e+00,1.582687377929687500e+02
5.440000057220458984e+00,1.598324279785156250e+02
5.480000019073486328e+00,1.613944854736328125e+02
5.519999980926513672e+00,1.629657897949218750e+02
5.559999942779541016e+00,1.644231414794921875e+02
5.599999904632568359e+00,1.657597808837890625e+02
5.639999866485595703e+00,1.670910339355468750e+02
5.679999828338623047e+00,1.684185638427734375e+02
5.719999790191650391e+00,1.697234344482421875e+02
5.759999752044677734e+00,1.710244140625000000e+02
5.799999713897705078e+00,1.723067932128906250e+02
5.839999675750732422e+00,1.735715332031250000e+02
5.879999637603759766e+00,1.748321533203125000e+02
5.919999599456787109e+00,1.760976104736328125e+02
5.960000038146972656e+00,1.773589477539062500e+02
6.000000000000000000e+00,1.785222167968750000e+02
6.039999961853027344e+00,1.795851898193359375e+02
6.079999923706054688e+00,1.806425170898437500e+02
6.119999885559082031e+00,1.816194152832031250e+02
6.159999847412109375e+00,1.825317382812500000e+02
6.199999809265136719e+00,1.834444122314453125e+02
6.239999771118164062e+00,1.843579711914062500e+02
6.279999732971191406e+00,1.852658691406250000e+02
6.319999694824218750e+00,1.861552581787109375e+02
6.359999656677246094e+00,1.870387573242187500e+02
6.399999618530273438e+00,1.879115905761718750e+02
6.439999580383300781e+00,1.887739257812500000e+02
6.480000019073486328e+00,1.896307983398437500e+02
6.519999980926513672e+00,1.904824218750000000e+02
6.559999942779541016e+00,1.913288421630859375e+02
6.599999904632568359e+00,1.921651306152343750e+02
6.639999866485595703e+00,1.929913940429687500e+02
6.679999828338623047e+00,1.938126525878906250e+02
6.719999790191650391e+00,1.945843811035156250e+02
6.759999752044677734e+00,1.952674865722656250e+02
6.799999713897705078e+00,1.959355010986328125e+02
6.839999675750732422e+00,1.965887145996093750e+02
6.879999637603759766e+00,1.972368011474609375e+02
6.919999599456787109e+00,1.979081420898437500e+02
6.959999561309814453e+00,1.985746612548828125e+02
7.000000000000000000e+00,1.991966400146484375e+02
7.039999961853027344e+00,1.997736511230468750e+02
7.079999923706054688e+00,2.003469848632812500e+02
7.119999885559082031e+00,1.998143615722656250e+02
7.159999847412109375e+00,2.003303680419921875e+02
7.199999809265136719e+00,2.008437957763671875e+02
7.239999771118164062e+00,2.013554229736328125e+02
7.279999732971191406e+00,2.018623504638671875e+02
7.319999694824218750e+00,2.023944244384765625e+02
7.359999656677246094e+00,2.029219970703125000e+02
7.399999618530273438e+00,2.034333190917968750e+02
7.439999580383300781e+00,2.039284210205078125e+02
7.479999542236328125e+00,2.044194793701171875e+02
7.519999980926513672e+00,2.048801879882812500e+02
7.559999942779541016e+00,2.053366851806640625e+02
7.599999904632568359e+00,2.057739868164062500e+02
7.639999866485595703e+00,2.061918029785156250e+02
7.679999828338623047e+00,2.066057586669921875e+02
7.719999790191650391e+00,2.070469665527343750e+02
7.759999752044677734e+00,2.074848785400390625e+02
7.799999713897705078e+00,2.078984680175781250e+02
7.839999675750732422e+00,2.082871551513671875e+02
7.879999637603759766e+00,2.086721801757812500e+02
7.919999599456787109e+00,2.090342102050781250e+02
7.959999561309814453e+00,2.093924865722656250e+02
7.999999523162841797e+00,2.096939392089843750e+02
8.039999961853027344e+00,2.099384765625000000e+02
8.079999923706054688e+00,2.101793212890625000e+02
8.119999885559082031e+00,2.104392089843750000e+02
8.159999847412109375e+00,2.106387481689453125e+02
8.199999809265136719e+00,2.107964019775390625e+02
8.239999771118164062e+00,2.109487915039062500e+02
8.279999732971191406e+00,2.112071075439453125e+02
8.319999694824218750e+00,2.114619903564453125e+02
8.359999656677246094e+00,2.117135314941406250e+02
8.399999618530273438e+00,2.119234771728515625e+02
8.439999580383300781e+00,2.120922241210937500e+02
8.479999542236328125e+00,2.122573852539062500e+02
8.520000457763671875e+00,2.124344177246093750e+02
8.560000419616699219e+00,2.126079406738281250e+02
8.600000381469726562e+00,2.127421569824218750e+02
8.640000343322753906e+00,2.128367156982421875e+02
8.680000305175781250e+00,2.129277038574218750e+02
8.720000267028808594e+00,2.130069274902343750e+02
