# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,5.607337951660156250e-01
1.639999985694885254e+00,7.655352950096130371e-01
1.680000066757202148e+00,1.042570829391479492e+00
1.720000028610229492e+00,1.416551709175109863e+00
1.759999990463256836e+00,1.892349362373352051e+00
1.799999952316284180e+00,2.355095863342285156e+00
1.840000033378601074e+00,1.290478110313415527e+00
1.879999995231628418e+00,1.628527879714965820e+00
1.920000076293945312e+00,2.104568719863891602e+00
1.960000038146972656e+00,2.630316019058227539e+00
2.000000000000000000e+00,3.229146718978881836e+00
2.039999961853027344e+00,3.931028604507446289e+00
2.079999923706054688e+00,4.781199932098388672e+00
2.119999885559082031e+00,4.270565509796142578e+00
2.160000085830688477e+00,4.931592941284179688e+00
2.200000047683715820e+00,5.093013286590576172e+00
2.240000009536743164e+00,5.799804210662841797e+00
2.279999971389770508e+00,6.625214099884033203e+00
2.319999933242797852e+00,7.640325546264648438e+00
2.360000133514404297e+00,8.617241859436035156e+00
2.400000095367431641e+00,9.546154022216796875e+00
2.440000057220458984e+00,1.059842109680175781e+01
2.480000019073486328e+00,1.183083152770996094e+01
2.519999980926513672e+00,1.332098007202148438e+01
2.559999942779541016e+00,1.495503044128417969e+01
2.599999904632568359e+00,1.642571449279785156e+01
2.639999866485595703e+00,1.664696693420410156e+01
2.679999828338623047e+00,1.810821533203125000e+01
2.720000028610229492e+00,1.968160057067871094e+01
2.759999990463256836e+00,2.138243675231933594e+01
2.799999952316284180e+00,2.321224212646484375e+01
2.840000152587890625e+00,2.509969520568847656e+01
2.880000114440917969e+00,2.671654129028320312e+01
2.920000076293945312e+00,2.840684700012207031e+01
2.960000038146972656e+00,3.019717407226562500e+01
3.000000000000000000e+00,3.212915802001953125e+01
3.039999961853027344e+00,3.319156646728515625e+01
3.079999923706054688e+00,3.514596176147460938e+01
3.119999885559082031e+00,3.717097473144531250e+01
3.159999847412109375e+00,3.884367370605468750e+01
3.199999809265136719e+00,4.057070922851562500e+01
3.240000009536743164e+00,4.235455322265625000e+01
3.279999971389770508e+00,4.358258056640625000e+01
3.319999933242797852e+00,4.602543640136718750e+01
3.360000133514404297e+00,4.858856201171875000e+01
3.400000095367431641e+00,5.126646423339843750e+01
3.440000057220458984e+00,5.326261901855468750e+01
3.480000019073486328e+00,5.467429351806640625e+01
3.519999980926513672e+00,5.471021270751953125e+01
3.559999942779541016e+00,5.613879776000976562e+01
3.599999904632568359e+00,5.759638214111328125e+01
3.639999866485595703e+00,5.906856536865234375e+01
3.679999828338623047e+00,6.055993652343750000e+01
3.719999790191650391e+00,6.132926940917968750e+01
3.759999752044677734e+00,6.286397933959960938e+01
3.800000190734863281e+00,6.419390869140625000e+01
3.840000152587890625e+00,6.537079620361328125e+01
3.880000114440917969e+00,6.655020904541015625e+01
3.920000076293945312e+00,6.809274291992187500e+01
3.960000038146972656e+00,6.977534484863281250e+01
4.000000000000000000e+00,7.105399322509765625e+01
4.039999961853027344e+00,7.270291137695312500e+01
4.079999923706054688e+00,7.437372589111328125e+01
4.119999885559082031e+00,7.606689453125000000e+01
4.159999847412109375e+00,7.776097106933593750e+01
4.199999809265136719e+00,7.920054626464843750e+01
4.239999771118164062e+00,8.064902496337890625e+01
4.279999732971191406e+00,8.210977935791015625e+01
4.320000171661376953e+00,8.220696258544921875e+01
4.360000133514404297e+00,8.305297088623046875e+01
4.400000095367431641e+00,8.427167510986328125e+01
4.440000057220458984e+00,8.549540710449218750e+01
4.480000019073486328e+00,8.672786712646484375e+01
4.519999980926513672e+00,8.796697998046875000e+01
4.559999942779541016e+00,8.920862579345703125e+01
4.599999904632568359e+00,8.931401824951171875e+01
4.639999866485595703e+00,9.034682464599609375e+01
4.679999828338623047e+00,9.133139801025390625e+01
4.719999790191650391e+00,9.231652832031250000e+01
