# Time (s), Energy (keV), RA (deg), Dec (deg)
3.376033411093782783e+08,2.040000000000000036e+00,1.708947534943729067e+02,3.983815855000000017e+00
3.376033417397515178e+08,1.880000000000000115e+00,1.709029662723831109e+02,3.914852287400000019e+00
3.376033420191580057e+08,2.200000000000000178e+00,1.708598491878295533e+02,3.921680363400000147e+00
3.376033420754719973e+08,2.479999999999999982e+00,1.709104946522257933e+02,3.991326738600000201e+00
3.376033421386045814e+08,2.879999999999999893e+00,1.709563493294493810e+02,3.940798976199999970e+00
3.376033422348263860e+08,6.484000000000000341e+01,1.708495832153168124e+02,3.925777209000000045e+00
3.376033422819650769e+08,1.920000000000000151e+00,1.709453989587691183e+02,4.011128159000000082e+00
3.376033428199934959e+08,1.760000000000000009e+00,1.709022818742155891e+02,3.778973575000000196e+00
3.376033431697179079e+08,2.788000000000000256e+01,1.709953600249978365e+02,3.934653707799999900e+00
3.376033432948003411e+08,1.640000000000000124e+00,1.709070726613882130e+02,3.903244558199999936e+00
3.376033436290538311e+08,2.439999999999999947e+00,1.708790123365200202e+02,3.992692353799999871e+00
3.376033437990874648e+08,1.640000000000000124e+00,1.709015974760480674e+02,3.782387613000000037e+00
3.376033440189366341e+08,1.640000000000000124e+00,1.708338420574639258e+02,3.905292981000000108e+00
3.376033440782715082e+08,1.600000000000000089e+00,1.708420548354741300e+02,3.825404491800000084e+00
3.376033441505197287e+08,3.040000000000000036e+00,1.710466898875615698e+02,3.842474681800000180e+00
3.376033443440451622e+08,1.680000000000000160e+00,1.708050973344282397e+02,3.888222791000000012e+00
3.376033445079329610e+08,3.000000000000000000e+00,1.708174165014435459e+02,3.916900710200000191e+00
3.376033445748686790e+08,7.028000000000000114e+01,1.709241826155761146e+02,3.824721684200000027e+00
3.376033446735926867e+08,1.600000000000000089e+00,1.708961222907079502e+02,3.909389826600000006e+00
3.376033449027235508e+08,1.720000000000000195e+00,1.708283668721238087e+02,3.950358282599999882e+00
3.376033452456119657e+08,1.063999999999999915e+02,1.707825121949001925e+02,3.934653707799999900e+00
3.376033453865527511e+08,1.600000000000000089e+00,1.709193918284034908e+02,3.837695028600000224e+00
3.376033455116406083e+08,1.600000000000000089e+00,1.709159698375659104e+02,3.986547085399999801e+00
3.376033456172308922e+08,1.880000000000000115e+00,1.708961222907079502e+02,3.924411593799999931e+00
3.376033461760091186e+08,2.360000000000000320e+00,1.708536896043219144e+02,3.802871840999999975e+00
3.376033463181923032e+08,4.628000000000000114e+01,1.712732256810095350e+02,3.564571988600000019e+00
3.376033463477083445e+08,2.919999999999999929e+00,1.709946756268303147e+02,3.981767432199999845e+00
3.376033464521603584e+08,1.600000000000000089e+00,1.708530052061543927e+02,3.949675474999999825e+00
3.376033466617426276e+08,1.800000000000000044e+00,1.708085193252658200e+02,3.893002444199999967e+00
3.376033469518305063e+08,2.120000000000000107e+00,1.709125478467283301e+02,3.947627052200000097e+00
3.376033470042773485e+08,7.587999999999999545e+01,1.708755903456824399e+02,3.834963798199999996e+00
3.376033476306596994e+08,1.920000000000000151e+00,1.708783279383524984e+02,3.978353394200000004e+00
3.376033481665266752e+08,2.280000000000000249e+00,1.708933846980378632e+02,3.844523104599999908e+00
3.376033482145811915e+08,1.800000000000000044e+00,1.708112569179359070e+02,3.884125945400000113e+00
3.376033484315527081e+08,1.959999999999999964e+00,1.708536896043219144e+02,3.980401817000000175e+00
3.376033485364572406e+08,1.640000000000000124e+00,1.708311044647938672e+02,3.948309859800000154e+00
