# Time (s), Energy (keV), RA (deg), Dec (deg)
3.376033410614886880e+08,1.119200000000000017e+02,1.710022040066729971e+02,3.991326738600000201e+00
3.376033411860568523e+08,1.920000000000000151e+00,1.709953600249978365e+02,3.833598182999999882e+00
3.376033414484016895e+08,9.000000000000000000e+00,1.709187074302359974e+02,3.886174368199999840e+00
3.376033415465180278e+08,1.800000000000000044e+00,1.708755903456824399e+02,3.938750553400000243e+00
3.376033418449023366e+08,2.360000000000000320e+00,1.710583246564093542e+02,3.849985565399999921e+00
3.376033419469553232e+08,1.800000000000000044e+00,1.708803811328550637e+02,3.964697242200000193e+00
3.376033420003895164e+08,2.120000000000000107e+00,1.708968066888754436e+02,3.781021997799999923e+00
3.376033421003113985e+08,2.560000000000000053e+00,1.709104946522257933e+02,3.903927365799999993e+00
3.376033421546777487e+08,1.896000000000000085e+01,1.709057038650531695e+02,3.748247232999999845e+00
3.376033421603114009e+08,1.720000000000000195e+00,1.708516364098193776e+02,3.933970900199999843e+00
3.376033423973459005e+08,1.880000000000000115e+00,1.708755903456824399e+02,3.938067745800000186e+00
3.376033424473426938e+08,8.064000000000000057e+01,1.709741436818048328e+02,3.945578629399999926e+00
3.376033425362185240e+08,1.840000000000000080e+00,1.708133101124384439e+02,3.924411593799999931e+00
3.376033425637803674e+08,1.720000000000000195e+00,1.709864628488201106e+02,3.940798976199999970e+00
3.376033426847960353e+08,1.800000000000000044e+00,1.709399237734290011e+02,3.944895821799999869e+00
3.376033427237347960e+08,1.920000000000000151e+00,1.708516364098193776e+02,3.856813641400000048e+00
3.376033427920833230e+08,2.360000000000000320e+00,1.710398459058864091e+02,3.843840296999999850e+00
3.376033428823806643e+08,2.080000000000000071e+00,1.709618245147895266e+02,4.024101503399999835e+00
3.376033428883430958e+08,1.600000000000000089e+00,1.709296578009162602e+02,3.766683038200000055e+00
3.376033429703830481e+08,1.880000000000000115e+00,1.708796967346875419e+02,3.936019323000000014e+00
3.376033431466015577e+08,8.715999999999999659e+01,1.709960444231653582e+02,3.870469793399999858e+00
3.376033433473654389e+08,1.680000000000000160e+00,1.708885939108652678e+02,3.896416482199999809e+00
3.376033433957975507e+08,1.680000000000000160e+00,1.710316331278762050e+02,3.858862064200000219e+00
