# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,9.343207478523254395e-01
1.639999985694885254e+00,1.262692928314208984e+00
1.680000066757202148e+00,1.702625751495361328e+00
1.720000028610229492e+00,2.291027307510375977e+00
1.759999990463256836e+00,3.034878015518188477e+00
1.799999952316284180e+00,3.762187242507934570e+00
1.840000033378601074e+00,2.309152841567993164e+00
1.879999995231628418e+00,2.879611253738403320e+00
1.920000076293945312e+00,3.673949241638183594e+00
1.960000038146972656e+00,4.548385620117187500e+00
2.000000000000000000e+00,5.535721302032470703e+00
2.039999961853027344e+00,6.680262088775634766e+00
2.079999923706054688e+00,8.054901123046875000e+00
2.119999885559082031e+00,7.091570377349853516e+00
2.160000085830688477e+00,8.147465705871582031e+00
2.200000047683715820e+00,8.357790946960449219e+00
2.240000009536743164e+00,9.470907211303710938e+00
2.279999971389770508e+00,1.076554775238037109e+01
2.319999933242797852e+00,1.235270786285400391e+01
2.360000133514404297e+00,1.387888240814208984e+01
2.400000095367431641e+00,1.533084011077880859e+01
2.440000057220458984e+00,1.697236442565917969e+01
2.480000019073486328e+00,1.889328193664550781e+01
2.519999980926513672e+00,2.121611595153808594e+01
2.559999942779541016e+00,2.375493240356445312e+01
2.599999904632568359e+00,2.604720115661621094e+01
2.639999866485595703e+00,2.633421707153320312e+01
2.679999828338623047e+00,2.861064910888671875e+01
2.720000028610229492e+00,3.105456542968750000e+01
2.759999990463256836e+00,3.369107055664062500e+01
2.799999952316284180e+00,3.652158355712890625e+01
2.840000152587890625e+00,3.943932723999023438e+01
2.880000114440917969e+00,4.195923233032226562e+01
2.920000076293945312e+00,4.459037780761718750e+01
2.960000038146972656e+00,4.737335968017578125e+01
3.000000000000000000e+00,5.034538650512695312e+01
3.039999961853027344e+00,5.188812637329101562e+01
3.079999923706054688e+00,5.483848571777343750e+01
3.119999885559082031e+00,5.788577270507812500e+01
3.159999847412109375e+00,6.041134643554687500e+01
3.199999809265136719e+00,6.301128005981445312e+01
3.240000009536743164e+00,6.568923950195312500e+01
3.279999971389770508e+00,6.747739410400390625e+01
3.319999933242797852e+00,7.123761749267578125e+01
3.360000133514404297e+00,7.518009185791015625e+01
3.400000095367431641e+00,7.929463195800781250e+01
3.440000057220458984e+00,8.236607360839843750e+01
3.480000019073486328e+00,8.456276702880859375e+01
3.519999980926513672e+00,8.262772369384765625e+01
3.559999942779541016e+00,8.481897735595703125e+01
3.599999904632568359e+00,8.707716369628906250e+01
3.639999866485595703e+00,8.936091613769531250e+01
3.679999828338623047e+00,9.167471313476562500e+01
3.719999790191650391e+00,9.184414672851562500e+01
3.759999752044677734e+00,9.422345733642578125e+01
3.800000190734863281e+00,9.630228424072265625e+01
3.840000152587890625e+00,9.816732025146484375e+01
3.880000114440917969e+00,1.000350646972656250e+02
3.920000076293945312e+00,1.023824310302734375e+02
3.960000038146972656e+00,1.049133300781250000e+02
4.000000000000000000e+00,1.062828292846679688e+02
4.039999961853027344e+00,1.087517395019531250e+02
4.079999923706054688e+00,1.112481460571289062e+02
4.119999885559082031e+00,1.137713394165039062e+02
4.159999847412109375e+00,1.162930068969726562e+02
4.199999809265136719e+00,1.184506225585937500e+02
4.239999771118164062e+00,1.206179962158203125e+02
4.279999732971191406e+00,1.228008270263671875e+02
4.320000171661376953e+00,1.210292968750000000e+02
4.360000133514404297e+00,1.217474975585937500e+02
4.400000095367431641e+00,1.236279144287109375e+02
4.440000057220458984e+00,1.255169219970703125e+02
4.480000019073486328e+00,1.274232940673828125e+02
4.519999980926513672e+00,1.293429870605468750e+02
4.559999942779541016e+00,1.312604370117187500e+02
4.599999904632568359e+00,1.301821441650390625e+02
4.639999866485595703e+00,1.318794555664062500e+02
4.679999828338623047e+00,1.334372100830078125e+02
4.719999790191650391e+00,1.349941101074218750e+02
4.759999752044677734e+00,1.365507049560546875e+02
4.799999713897705078e+00,1.381053314208984375e+02
4.840000152587890625e+00,1.396514739990234375e+02
4.880000114440917969e+00,1.411936340332031250e+02
4.920000076293945312e+00,1.413762969970703125e+02
4.960000038146972656e+00,1.429128417968750000e+02
5.000000000000000000e+00,1.444105224609375000e+02
5.039999961853027344e+00,1.459875488281250000e+02
5.079999923706054688e+00,1.474615173339843750e+02
5.119999885559082031e+00,1.489317321777343750e+02
5.159999847412109375e+00,1.503973083496093750e+02
5.199999809265136719e+00,1.518559722900390625e+02
5.239999771118164062e+00,1.533091735839843750e+02
5.279999732971191406e+00,1.547609558105468750e+02
5.320000171661376953e+00,1.562120819091796875e+02
5.360000133514404297e+00,1.576620483398437500e+02
5.400000095367431641e+00,1.591076354980468750e+02
5.440000057220458984e+00,1.605474395751953125e+02
5.480000019073486328e+00,1.619851837158203125e+02
5.519999980926513672e+00,1.634216918945312500e+02
5.559999942779541016e+00,1.647483520507812500e+02
5.599999904632568359e+00,1.659591064453125000e+02
5.639999866485595703e+00,1.671648406982421875e+02
5.679999828338623047e+00,1.683664855957031250e+02
5.719999790191650391e+00,1.695642242431640625e+02
5.759999752044677734e+00,1.707579040527343750e+02
5.799999713897705078e+00,1.719336700439453125e+02
5.839999675750732422e+00,1.730923004150390625e+02
5.879999637603759766e+00,1.742469329833984375e+02
5.919999599456787109e+00,1.753969421386718750e+02
5.960000038146972656e+00,1.765427398681640625e+02
6.000000000000000000e+00,1.776067657470703125e+02
6.039999961853027344e+00,1.785872650146484375e+02
6.079999923706054688e+00,1.795624389648437500e+02
6.119999885559082031e+00,1.804524078369140625e+02
6.159999847412109375e+00,1.812818603515625000e+02
6.199999809265136719e+00,1.821119232177734375e+02
6.239999771118164062e+00,1.829433593750000000e+02
6.279999732971191406e+00,1.837692718505859375e+02
6.319999694824218750e+00,1.845894012451171875e+02
6.359999656677246094e+00,1.854041442871093750e+02
6.399999618530273438e+00,1.862093048095703125e+02
6.439999580383300781e+00,1.870052185058593750e+02
6.480000019073486328e+00,1.877959136962890625e+02
6.519999980926513672e+00,1.885826263427734375e+02
6.559999942779541016e+00,1.893644104003906250e+02
6.599999904632568359e+00,1.901374511718750000e+02
6.639999866485595703e+00,1.909015808105468750e+02
6.679999828338623047e+00,1.916612243652343750e+02
6.719999790191650391e+00,1.923792572021484375e+02
6.759999752044677734e+00,1.930142211914062500e+02
6.799999713897705078e+00,1.936358032226562500e+02
6.839999675750732422e+00,1.942443695068359375e+02
6.879999637603759766e+00,1.948484191894531250e+02
6.919999599456787109e+00,1.954485931396484375e+02
6.959999561309814453e+00,1.960441894531250000e+02
7.000000000000000000e+00,1.965873260498046875e+02
7.039999961853027344e+00,1.970773773193359375e+02
7.079999923706054688e+00,1.975643005371093750e+02
7.119999885559082031e+00,1.970001678466796875e+02
7.159999847412109375e+00,1.974705352783203125e+02
7.199999809265136719e+00,1.979497680664062500e+02
7.239999771118164062e+00,1.984379119873046875e+02
7.279999732971191406e+00,1.989223022460937500e+02
7.319999694824218750e+00,1.994021301269531250e+02
7.359999656677246094e+00,1.998777770996093750e+02
7.399999618530273438e+00,2.003409729003906250e+02
7.439999580383300781e+00,2.007917327880859375e+02
7.479999542236328125e+00,2.012385711669921875e+02
7.519999980926513672e+00,2.016817626953125000e+02
7.559999942779541016e+00,2.021211700439453125e+02
7.599999904632568359e+00,2.025463409423828125e+02
7.639999866485595703e+00,2.029569091796875000e+02
7.679999828338623047e+00,2.033641510009765625e+02
7.719999790191650391e+00,2.037713623046875000e+02
7.759999752044677734e+00,2.041758880615234375e+02
7.799999713897705078e+00,2.045647125244140625e+02
7.839999675750732422e+00,2.049375762939453125e+02
7.879999637603759766e+00,2.053075256347656250e+02
7.919999599456787109e+00,2.056758117675781250e+02
7.959999561309814453e+00,2.060408020019531250e+02
7.999999523162841797e+00,2.063769378662109375e+02
8.039999961853027344e+00,2.066836395263671875e+02
8.079999923706054688e+00,2.069876708984375000e+02
8.119999885559082031e+00,2.072880096435546875e+02
8.159999847412109375e+00,2.075323181152343750e+02
8.199999809265136719e+00,2.077543182373046875e+02
8.239999771118164062e+00,2.079694824218750000e+02
8.279999732971191406e+00,2.082288513183593750e+02
8.319999694824218750e+00,2.084900512695312500e+02
8.359999656677246094e+00,2.087484436035156250e+02
8.399999618530273438e+00,2.089822082519531250e+02
8.439999580383300781e+00,2.091914520263671875e+02
8.479999542236328125e+00,2.093978881835937500e+02
8.520000457763671875e+00,2.096076049804687500e+02
8.560000419616699219e+00,2.098144836425781250e+02
8.600000381469726562e+00,2.099934234619140625e+02
8.640000343322753906e+00,2.101442871093750000e+02
8.680000305175781250e+00,2.102924194335937500e+02
8.720000267028808594e+00,2.104373931884765625e+02
8.760000228881835938e+00,2.105801086425781250e+02
8.800000190734863281e+00,2.106932373046875000e+02
8.840000152587890625e+00,2.107770690917968750e+02
8.880000114440917969e+00,2.108582000732421875e+02
8.920000076293945312e+00,2.109429016113281250e+02
8.960000038146972656e+00,2.109957427978515625e+02
9.000000000000000000e+00,2.110011291503906250e+02
9.039999961853027344e+00,2.109752349853515625e+02
9.079999923706054688e+00,2.109464569091796875e+02
9.119999885559082031e+00,2.109441223144531250e+02
9.159999847412109375e+00,2.110557556152343750e+02
9.199999809265136719e+00,2.111315612792968750e+02
9.239999771118164062e+00,2.111716156005859375e+02
9.279999732971191406e+00,2.112087554931640625e+02
9.319999694824218750e+00,2.112464294433593750e+02
9.359999656677246094e+00,2.112812500000000000e+02
9.399999618530273438e+00,2.112707366943359375e+02
9.439999580383300781e+00,2.112151031494140625e+02
9.479999542236328125e+00,2.111566009521484375e+02
9.519999504089355469e+00,2.111061248779296875e+02
9.560000419616699219e+00,2.110531005859375000e+02
9.600000381469726562e+00,2.108589019775390625e+02
9.640000343322753906e+00,2.105608520507812500e+02
9.680000305175781250e+00,2.103732452392578125e+02
9.720000267028808594e+00,2.101821746826171875e+02
9.760000228881835938e+00,2.099881896972656250e+02
9.800000190734863281e+00,2.094908447265625000e+02
9.840000152587890625e+00,2.086838531494140625e+02
9.880000114440917969e+00,2.078547363281250000e+02
9.920000076293945312e+00,2.070350494384765625e+02
9.960000038146972656e+00,2.066116027832031250e+02
1.000000000000000000e+01,2.042027130126953125e+02
1.003999996185302734e+01,1.995149383544921875e+02
1.007999992370605469e+01,1.948095092773437500e+02
1.011999988555908203e+01,1.900856323242187500e+02
1.015999984741210938e+01,1.853458404541015625e+02
1.019999980926513672e+01,1.800879974365234375e+02
1.023999977111816406e+01,1.804218139648437500e+02
1.027999973297119141e+01,1.807487182617187500e+02
1.032000064849853516e+01,1.810683898925781250e+02
1.036000061035156250e+01,1.813815460205078125e+02
1.040000057220458984e+01,1.823777313232421875e+02
1.044000053405761719e+01,1.837292175292968750e+02
1.048000049591064453e+01,1.840633239746093750e+02
1.052000045776367188e+01,1.843897552490234375e+02
1.056000041961669922e+01,1.847110443115234375e+02
1.060000038146972656e+01,1.845835113525390625e+02
1.064000034332275391e+01,1.840095672607421875e+02
1.068000030517578125e+01,1.834344635009765625e+02
1.072000026702880859e+01,1.828513488769531250e+02
1.076000022888183594e+01,1.822671966552734375e+02
1.080000019073486328e+01,1.815939483642578125e+02
1.084000015258789062e+01,1.808202819824218750e+02
1.088000011444091797e+01,1.800407714843750000e+02
1.092000007629394531e+01,1.792539215087890625e+02
1.096000003814697266e+01,1.784673614501953125e+02
1.100000000000000000e+01,1.775979461669921875e+02
1.103999996185302734e+01,1.766464233398437500e+02
1.107999992370605469e+01,1.756963043212890625e+02
1.111999988555908203e+01,1.756367034912109375e+02
1.115999984741210938e+01,1.755752868652343750e+02
1.119999980926513672e+01,1.751309204101562500e+02
1.123999977111816406e+01,1.743024291992187500e+02
1.127999973297119141e+01,1.734702911376953125e+02
1.131999969482421875e+01,1.726321105957031250e+02
1.136000061035156250e+01,1.717906646728515625e+02
1.140000057220458984e+01,1.701071624755859375e+02
1.144000053405761719e+01,1.675775146484375000e+02
1.148000049591064453e+01,1.650388031005859375e+02
1.152000045776367188e+01,1.623505706787109375e+02
1.156000041961669922e+01,1.550559082031250000e+02
1.160000038146972656e+01,1.530975036621093750e+02
1.164000034332275391e+01,1.525766601562500000e+02
1.168000030517578125e+01,1.520508422851562500e+02
1.172000026702880859e+01,1.515186004638671875e+02
1.176000022888183594e+01,1.509792938232421875e+02
1.180000019073486328e+01,1.503532562255859375e+02
1.184000015258789062e+01,1.496439514160156250e+02
1.188000011444091797e+01,1.489341888427734375e+02
1.192000007629394531e+01,1.482138977050781250e+02
1.196000003814697266e+01,1.474886932373046875e+02
1.200000000000000000e+01,1.466570587158203125e+02
1.203999996185302734e+01,1.457198333740234375e+02
1.207999992370605469e+01,1.450650177001953125e+02
1.211999988555908203e+01,1.452352142333984375e+02
1.215999984741210938e+01,1.454047698974609375e+02
1.219999980926513672e+01,1.455214996337890625e+02
1.223999977111816406e+01,1.455850524902343750e+02
1.227999973297119141e+01,1.456478881835937500e+02
1.231999969482421875e+01,1.457095642089843750e+02
1.236000061035156250e+01,1.457707214355468750e+02
1.240000057220458984e+01,1.457484436035156250e+02
1.244000053405761719e+01,1.456430816650390625e+02
1.248000049591064453e+01,1.455371704101562500e+02
1.252000045776367188e+01,1.454247741699218750e+02
1.256000041961669922e+01,1.453120117187500000e+02
1.260000038146972656e+01,1.451504669189453125e+02
1.264000034332275391e+01,1.449401092529296875e+02
1.268000030517578125e+01,1.447295532226562500e+02
1.272000026702880859e+01,1.445198822021484375e+02
1.276000022888183594e+01,1.443095397949218750e+02
