# Time (s), Energy (keV), SunX (arcsec), SunY (arcsec)
3.376033411093782783e+08,2.040000000000000036e+00,-8.031899999999999409e+02,2.029499999999999886e+02
3.376033417397515178e+08,1.880000000000000115e+00,-9.286499999999999773e+02,-1.352999999999999936e+01
3.376033420191580057e+08,2.200000000000000178e+00,-7.761299999999999955e+02,-5.289000000000000057e+01
3.376033420754719973e+08,2.479999999999999982e+00,-8.425499999999999545e+02,2.496899999999999977e+02
3.376033421386045814e+08,2.879999999999999893e+00,-1.068869999999999891e+03,1.488299999999999841e+02
3.376033422348263860e+08,6.484000000000000341e+01,-7.367699999999999818e+02,-5.535000000000000142e+01
3.376033422819650769e+08,1.920000000000000151e+00,-9.311100000000000136e+02,3.653100000000000023e+02
3.376033428199934959e+08,1.760000000000000009e+00,-1.122990000000000009e+03,-4.637099999999999795e+02
3.376033431697179079e+08,2.788000000000000256e+01,-1.204170000000000073e+03,1.857299999999999898e+02
3.376033432948003411e+08,1.640000000000000124e+00,-9.581699999999999591e+02,-4.550999999999999801e+01
3.376033436290538311e+08,2.439999999999999947e+00,-7.367699999999999818e+02,2.078700000000000045e+02
3.376033437990874648e+08,1.640000000000000124e+00,-1.115609999999999900e+03,-4.538700000000000045e+02
3.376033440189366341e+08,1.640000000000000124e+00,-7.146299999999999955e+02,-1.463700000000000045e+02
3.376033440782715082e+08,1.600000000000000089e+00,-8.573099999999999454e+02,-3.972900000000000205e+02
3.376033441505197287e+08,3.040000000000000036e+00,-1.506750000000000000e+03,-4.550999999999999801e+01
3.376033443440451622e+08,1.680000000000000160e+00,-6.432899999999999636e+02,-2.423100000000000023e+02
3.376033445079329610e+08,3.000000000000000000e+00,-6.432899999999999636e+02,-1.316099999999999852e+02
3.376033445748686790e+08,7.028000000000000114e+01,-1.130369999999999891e+03,-2.816700000000000159e+02
3.376033446735926867e+08,1.600000000000000089e+00,-9.138899999999999864e+02,-4.058999999999999631e+01
3.376033449027235508e+08,1.720000000000000195e+00,-6.309900000000000091e+02,-3.689999999999999947e+00
3.376033452456119657e+08,1.063999999999999915e+02,-5.030699999999999932e+02,-1.217699999999999960e+02
3.376033453865527511e+08,1.600000000000000089e+00,-1.093470000000000027e+03,-2.447700000000000102e+02
3.376033455116406083e+08,1.600000000000000089e+00,-8.671499999999999773e+02,2.423100000000000023e+02
3.376033456172308922e+08,1.880000000000000115e+00,-8.917500000000000000e+02,8.609999999999999432e+00
3.376033461760091186e+08,2.360000000000000320e+00,-9.286499999999999773e+02,-4.538700000000000045e+02
3.376033463181923032e+08,4.628000000000000114e+01,-2.658029999999999745e+03,-6.359099999999999682e+02
3.376033463477083445e+08,2.919999999999999929e+00,-1.135289999999999964e+03,3.407099999999999795e+02
3.376033464521603584e+08,1.600000000000000089e+00,-7.146299999999999955e+02,2.828999999999999915e+01
3.376033466617426276e+08,1.800000000000000044e+00,-6.482100000000000364e+02,-2.226299999999999955e+02
3.376033469518305063e+08,2.120000000000000107e+00,-9.138899999999999864e+02,1.070100000000000051e+02
3.376033470042773485e+08,7.587999999999999545e+01,-9.532500000000000000e+02,-3.161100000000000136e+02
3.376033476306596994e+08,1.920000000000000151e+00,-7.564500000000000455e+02,1.611299999999999955e+02
3.376033481665266752e+08,2.280000000000000249e+00,-9.999900000000000091e+02,-2.595299999999999727e+02
3.376033482145811915e+08,1.800000000000000044e+00,-6.703500000000000227e+02,-2.472299999999999898e+02
3.376033484315527081e+08,1.959999999999999964e+00,-6.703500000000000227e+02,1.316099999999999852e+02
3.376033485364572406e+08,1.640000000000000124e+00,-6.432899999999999636e+02,-6.150000000000000355e+00
3.376033488398795724e+08,2.160000000000000142e+00,-9.040499999999999545e+02,-1.229999999999999982e+00
3.376033490768576264e+08,1.840000000000000080e+00,-8.031899999999999409e+02,-2.644499999999999886e+02
3.376033494392502308e+08,3.760000000000000231e+00,-7.958099999999999454e+02,-1.316099999999999852e+02
3.376033495181260705e+08,1.640000000000000124e+00,-8.843700000000000045e+02,-8.732999999999999829e+01
3.376033495646538734e+08,1.720000000000000195e+00,-8.745299999999999727e+02,1.168499999999999943e+02
3.376033499722862244e+08,1.600000000000000089e+00,-8.646899999999999409e+02,2.127899999999999920e+02
3.376033499759808779e+08,1.720000000000000195e+00,-9.311100000000000136e+02,-4.612500000000000000e+02
3.376033501400564313e+08,3.120000000000000107e+00,-1.159889999999999873e+03,2.337000000000000099e+01
3.376033501462760568e+08,1.600000000000000089e+00,-5.768700000000000045e+02,-1.599000000000000021e+01
3.376033503539507389e+08,1.600000000000000089e+00,-6.432899999999999636e+02,5.781000000000000227e+01
3.376033504313183427e+08,1.680000000000000160e+00,-9.729299999999999500e+02,2.349300000000000068e+02
3.376033505054926276e+08,1.720000000000000195e+00,-1.211549999999999955e+03,6.150000000000000355e+00
3.376033508537706137e+08,1.880000000000000115e+00,-7.121699999999999591e+02,2.337000000000000099e+01
3.376033512007649541e+08,1.959999999999999964e+00,-9.163500000000000227e+02,-4.243499999999999659e+02
3.376033512664594054e+08,2.240000000000000213e+00,-1.260750000000000000e+03,-6.026999999999999602e+01
3.376033516249891520e+08,1.640000000000000124e+00,-9.827699999999999818e+02,-2.546099999999999852e+02
3.376033516842523813e+08,9.687999999999999545e+01,-1.393589999999999918e+03,4.304999999999999716e+01
3.376033519863693714e+08,2.799999999999999822e+00,-1.349309999999999945e+03,-2.546099999999999852e+02
3.376033521057248116e+08,2.879999999999999893e+00,-8.671499999999999773e+02,-1.352999999999999936e+01
3.376033521711273789e+08,1.920000000000000151e+00,-9.384900000000000091e+02,4.022099999999999795e+02
3.376033523934917450e+08,1.600000000000000089e+00,-1.027049999999999955e+03,-4.735500000000000114e+02
