# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,6.342201828956604004e-01
1.639999985694885254e+00,8.757496476173400879e-01
1.680000066757202148e+00,1.205433845520019531e+00
1.720000028610229492e+00,1.654278635978698730e+00
1.759999990463256836e+00,2.230843782424926758e+00
1.799999952316284180e+00,2.802523851394653320e+00
1.840000033378601074e+00,1.549822211265563965e+00
1.879999995231628418e+00,1.970252275466918945e+00
1.920000076293945312e+00,2.560420274734497070e+00
1.960000038146972656e+00,3.216684579849243164e+00
2.000000000000000000e+00,3.967434644699096680e+00
2.039999961853027344e+00,4.849776268005371094e+00
2.079999923706054688e+00,5.921133995056152344e+00
2.119999885559082031e+00,5.274436950683593750e+00
2.160000085830688477e+00,6.116999626159667969e+00
2.200000047683715820e+00,6.328719615936279297e+00
2.240000009536743164e+00,7.234357833862304688e+00
2.279999971389770508e+00,8.293457984924316406e+00
2.319999933242797852e+00,9.594625473022460938e+00
2.360000133514404297e+00,1.085354042053222656e+01
2.400000095367431641e+00,1.205742168426513672e+01
2.440000057220458984e+00,1.342346477508544922e+01
2.480000019073486328e+00,1.502547073364257812e+01
2.519999980926513672e+00,1.696542167663574219e+01
2.559999942779541016e+00,1.909795188903808594e+01
2.599999904632568359e+00,2.103084754943847656e+01
2.639999866485595703e+00,2.133532333374023438e+01
2.679999828338623047e+00,2.326498222351074219e+01
2.720000028610229492e+00,2.534398841857910156e+01
2.759999990463256836e+00,2.759410667419433594e+01
2.799999952316284180e+00,3.001796913146972656e+01
2.840000152587890625e+00,3.252246093750000000e+01
2.880000114440917969e+00,3.468171310424804688e+01
2.920000076293945312e+00,3.694178390502929688e+01
2.960000038146972656e+00,3.933740997314453125e+01
3.000000000000000000e+00,4.195957183837890625e+01
3.039999961853027344e+00,4.346104431152343750e+01
3.079999923706054688e+00,4.616374969482421875e+01
3.119999885559082031e+00,4.897114944458007812e+01
3.159999847412109375e+00,5.132606124877929688e+01
3.199999809265136719e+00,5.376276779174804688e+01
3.240000009536743164e+00,5.628511047363281250e+01
3.279999971389770508e+00,5.805988693237304688e+01
3.319999933242797852e+00,6.113763427734375000e+01
3.360000133514404297e+00,6.435549163818359375e+01
3.400000095367431641e+00,6.770858764648437500e+01
3.440000057220458984e+00,7.037728118896484375e+01
3.480000019073486328e+00,7.235279846191406250e+01
3.519999980926513672e+00,7.087347412109375000e+01
3.559999942779541016e+00,7.284957122802734375e+01
3.599999904632568359e+00,7.488726043701171875e+01
3.639999866485595703e+00,7.695191955566406250e+01
3.679999828338623047e+00,7.904764556884765625e+01
3.719999790191650391e+00,7.933995819091796875e+01
3.759999752044677734e+00,8.150112915039062500e+01
3.800000190734863281e+00,8.339419555664062500e+01
3.840000152587890625e+00,8.509574127197265625e+01
3.880000114440917969e+00,8.680331420898437500e+01
3.920000076293945312e+00,8.893361663818359375e+01
3.960000038146972656e+00,9.122871398925781250e+01
4.000000000000000000e+00,9.253933715820312500e+01
4.039999961853027344e+00,9.478856658935546875e+01
4.079999923706054688e+00,9.706620788574218750e+01
4.119999885559082031e+00,9.937280273437500000e+01
4.159999847412109375e+00,1.016810455322265625e+02
4.199999809265136719e+00,1.036566619873046875e+02
4.239999771118164062e+00,1.056440734863281250e+02
4.279999732971191406e+00,1.076480941772460938e+02
4.320000171661376953e+00,1.062616806030273438e+02
4.360000133514404297e+00,1.069949264526367188e+02
4.400000095367431641e+00,1.087238082885742188e+02
4.440000057220458984e+00,1.104626464843750000e+02
4.480000019073486328e+00,1.122190399169921875e+02
4.519999980926513672e+00,1.139882507324218750e+02
4.559999942779541016e+00,1.157583007812500000e+02
4.599999904632568359e+00,1.149298248291015625e+02
4.639999866485595703e+00,1.164900970458984375e+02
4.679999828338623047e+00,1.179316101074218750e+02
4.719999790191650391e+00,1.193738708496093750e+02
4.759999752044677734e+00,1.208175735473632812e+02
4.799999713897705078e+00,1.222610855102539062e+02
4.840000152587890625e+00,1.236988449096679688e+02
4.880000114440917969e+00,1.251348953247070312e+02
4.920000076293945312e+00,1.253941574096679688e+02
4.960000038146972656e+00,1.268292160034179688e+02
5.000000000000000000e+00,1.282315826416015625e+02
5.039999961853027344e+00,1.297072143554687500e+02
5.079999923706054688e+00,1.310843658447265625e+02
