# Time (s), Energy (keV), SunX (arcsec), SunY (arcsec)
3.376033410614886880e+08,1.119200000000000017e+02,-1.145129999999999882e+03,3.825299999999999727e+02
3.376033411860568523e+08,1.920000000000000151e+00,-1.351769999999999982e+03,-1.488299999999999841e+02
3.376033414484016895e+08,9.000000000000000000e+00,-1.022129999999999995e+03,-8.487000000000000455e+01
3.376033415465180278e+08,1.800000000000000044e+00,-8.031899999999999409e+02,2.582999999999999829e+01
3.376033418449023366e+08,2.360000000000000320e+00,-1.536269999999999982e+03,-3.689999999999999947e+00
3.376033419469553232e+08,1.800000000000000044e+00,-7.835099999999999909e+02,1.193100000000000023e+02
3.376033420003895164e+08,2.120000000000000107e+00,-1.103309999999999945e+03,-4.637099999999999795e+02
3.376033421003113985e+08,2.560000000000000053e+00,-9.704700000000000273e+02,-3.813000000000000256e+01
3.376033421546777487e+08,1.896000000000000085e+01,-1.179569999999999936e+03,-5.596499999999999773e+02
3.376033421603114009e+08,1.720000000000000195e+00,-7.318500000000000227e+02,-2.582999999999999829e+01
3.376033423973459005e+08,1.880000000000000115e+00,-8.056499999999999773e+02,2.337000000000000099e+01
3.376033424473426938e+08,8.064000000000000057e+01,-1.120529999999999973e+03,1.906500000000000057e+02
3.376033425362185240e+08,1.840000000000000080e+00,-6.186899999999999409e+02,-1.119299999999999926e+02
3.376033425637803674e+08,1.720000000000000195e+00,-1.167269999999999982e+03,1.931099999999999852e+02
3.376033426847960353e+08,1.800000000000000044e+00,-1.007370000000000005e+03,1.389900000000000091e+02
3.376033427237347960e+08,1.920000000000000151e+00,-8.425499999999999545e+02,-2.792099999999999795e+02
3.376033427920833230e+08,2.360000000000000320e+00,-1.484609999999999900e+03,-5.042999999999999972e+01
3.376033428823806643e+08,2.080000000000000071e+00,-9.655499999999999545e+02,4.317300000000000182e+02
3.376033428883430958e+08,1.600000000000000089e+00,-1.231230000000000018e+03,-4.637099999999999795e+02
3.376033429703830481e+08,1.880000000000000115e+00,-8.228700000000000045e+02,2.337000000000000099e+01
3.376033431466015577e+08,8.715999999999999659e+01,-1.300109999999999900e+03,-2.582999999999999829e+01
3.376033433473654389e+08,1.680000000000000160e+00,-9.089700000000000273e+02,-9.470999999999999375e+01
3.376033433957975507e+08,1.680000000000000160e+00,-1.435410000000000082e+03,-1.352999999999999936e+01
3.376033435010460019e+08,7.880000000000000782e+00,-1.356690000000000055e+03,2.828999999999999915e+01
3.376033435287629962e+08,1.720000000000000195e+00,-1.263210000000000036e+03,6.272999999999999687e+01
3.376033438767079115e+08,2.400000000000000355e+00,-1.083629999999999882e+03,4.268100000000000023e+02
3.376033440495019555e+08,1.880000000000000115e+00,-1.174650000000000091e+03,1.352999999999999936e+01
3.376033441578385234e+08,1.760000000000000009e+00,-7.244700000000000273e+02,8.487000000000000455e+01
3.376033443185297251e+08,2.080000000000000071e+00,-9.065099999999999909e+02,4.058999999999999631e+01
3.376033445888584852e+08,1.680000000000000160e+00,-1.228769999999999982e+03,3.075000000000000000e+01
3.376033446020768285e+08,2.640000000000000124e+00,-8.376299999999999955e+02,-1.734300000000000068e+02
3.376033447184277177e+08,1.840000000000000080e+00,-8.942100000000000364e+02,2.201699999999999875e+02
3.376033448830664158e+08,1.920000000000000151e+00,-1.423109999999999900e+03,-1.660500000000000114e+02
3.376033448858962655e+08,1.760000000000000009e+00,-1.152509999999999991e+03,1.352999999999999936e+01
3.376033449722916484e+08,1.720000000000000195e+00,-1.162349999999999909e+03,-5.042999999999999972e+01
3.376033450929362178e+08,1.640000000000000124e+00,-8.868300000000000409e+02,2.669099999999999682e+02
3.376033451685883403e+08,1.920000000000000151e+00,-9.015900000000000318e+02,1.266899999999999977e+02
3.376033451817241907e+08,1.800000000000000044e+00,-1.105769999999999982e+03,-8.609999999999999432e+00
3.376033454125260711e+08,2.040000000000000036e+00,-1.007370000000000005e+03,-1.107000000000000028e+01
3.376033454267871380e+08,1.760000000000000009e+00,-7.244700000000000273e+02,-5.042999999999999972e+01
3.376033454992231131e+08,1.640000000000000124e+00,-7.638300000000000409e+02,-1.389900000000000091e+02
3.376033455653406978e+08,5.000000000000000000e+00,-1.049190000000000055e+03,-2.324699999999999989e+02
3.376033456372818947e+08,1.680000000000000160e+00,-1.457549999999999955e+03,-1.389900000000000091e+02
3.376033458238628507e+08,1.680000000000000160e+00,-1.275509999999999991e+03,-1.193100000000000023e+02
3.376033458904654980e+08,1.640000000000000124e+00,-8.622300000000000182e+02,-3.567000000000000171e+01
3.376033459100596905e+08,1.959999999999999964e+00,-8.007300000000000182e+02,1.881899999999999977e+02
3.376033460081239343e+08,1.680000000000000160e+00,-1.122990000000000009e+03,-1.229999999999999982e+00
3.376033460282725692e+08,1.959999999999999964e+00,-8.917500000000000000e+02,-1.266899999999999977e+02
3.376033462932432890e+08,2.280000000000000249e+00,-6.088500000000000227e+02,-4.304999999999999716e+01
3.376033465417132974e+08,1.760000000000000009e+00,-7.884299999999999500e+02,1.070100000000000051e+02
3.376033465561404228e+08,1.600000000000000089e+00,-6.826499999999999773e+02,-2.337000000000000099e+01
3.376033468580772281e+08,2.680000000000000160e+00,-1.312410000000000082e+03,5.289000000000000057e+01
3.376033468656781912e+08,1.600000000000000089e+00,-1.400970000000000027e+03,-1.881899999999999977e+02
