# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,1.736991763114929199e+00
1.639999985694885254e+00,2.342784643173217773e+00
1.680000066757202148e+00,3.153960227966308594e+00
1.720000028610229492e+00,4.238619804382324219e+00
1.759999990463256836e+00,5.609577655792236328e+00
1.799999952316284180e+00,6.958598136901855469e+00
1.840000033378601074e+00,4.278499603271484375e+00
1.879999995231628418e+00,5.326729297637939453e+00
1.920000076293945312e+00,6.762054443359375000e+00
1.960000038146972656e+00,8.331173896789550781e+00
2.000000000000000000e+00,1.008741188049316406e+01
2.039999961853027344e+00,1.210632896423339844e+01
2.079999923706054688e+00,1.452010726928710938e+01
2.119999885559082031e+00,1.253589057922363281e+01
2.160000085830688477e+00,1.437140083312988281e+01
2.200000047683715820e+00,1.462538909912109375e+01
2.240000009536743164e+00,1.653929328918457031e+01
2.279999971389770508e+00,1.876314353942871094e+01
2.319999933242797852e+00,2.147714614868164062e+01
2.360000133514404297e+00,2.407250976562500000e+01
2.400000095367431641e+00,2.653123855590820312e+01
2.440000057220458984e+00,2.931664085388183594e+01
2.480000019073486328e+00,3.258680725097656250e+01
2.519999980926513672e+00,3.656323242187500000e+01
2.559999942779541016e+00,4.091108322143554688e+01
2.599999904632568359e+00,4.483709335327148438e+01
2.639999866485595703e+00,4.512123107910156250e+01
2.679999828338623047e+00,4.901257324218750000e+01
2.720000028610229492e+00,5.319075393676757812e+01
2.759999990463256836e+00,5.769964599609375000e+01
2.799999952316284180e+00,6.254108428955078125e+01
2.840000152587890625e+00,6.752592468261718750e+01
2.880000114440917969e+00,7.182620239257812500e+01
2.920000076293945312e+00,7.631371307373046875e+01
2.960000038146972656e+00,8.106180572509765625e+01
3.000000000000000000e+00,8.660189819335937500e+01
3.039999961853027344e+00,9.004025268554687500e+01
3.079999923706054688e+00,9.613427734375000000e+01
3.119999885559082031e+00,1.025067062377929688e+02
3.159999847412109375e+00,1.080545806884765625e+02
3.199999809265136719e+00,1.138264923095703125e+02
3.240000009536743164e+00,1.198327789306640625e+02
3.279999971389770508e+00,1.241983032226562500e+02
3.319999933242797852e+00,1.289048461914062500e+02
3.360000133514404297e+00,1.337232208251953125e+02
3.400000095367431641e+00,1.386637573242187500e+02
3.440000057220458984e+00,1.434542236328125000e+02
3.480000019073486328e+00,1.473176879882812500e+02
3.519999980926513672e+00,1.459298248291015625e+02
3.559999942779541016e+00,1.498124694824218750e+02
3.599999904632568359e+00,1.537910766601562500e+02
3.639999866485595703e+00,1.578117218017578125e+02
3.679999828338623047e+00,1.618849182128906250e+02
3.719999790191650391e+00,1.632072448730468750e+02
3.759999752044677734e+00,1.673966674804687500e+02
3.800000190734863281e+00,1.710629272460937500e+02
3.840000152587890625e+00,1.743468475341796875e+02
3.880000114440917969e+00,1.776376190185546875e+02
3.920000076293945312e+00,1.817281036376953125e+02
3.960000038146972656e+00,1.861269531250000000e+02
4.000000000000000000e+00,1.890075683593750000e+02
4.039999961853027344e+00,1.932978363037109375e+02
