# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,7.876936197280883789e-01
1.639999985694885254e+00,1.051969408988952637e+00
1.680000066757202148e+00,1.402779102325439453e+00
1.720000028610229492e+00,1.867930650711059570e+00
1.759999990463256836e+00,2.450133323669433594e+00
1.799999952316284180e+00,3.007480382919311523e+00
1.840000033378601074e+00,1.828115105628967285e+00
1.879999995231628418e+00,2.262403011322021484e+00
1.920000076293945312e+00,2.870003700256347656e+00
1.960000038146972656e+00,3.534220218658447266e+00
2.000000000000000000e+00,4.281002044677734375e+00
2.039999961853027344e+00,5.144510746002197266e+00
2.079999923706054688e+00,6.179241180419921875e+00
2.119999885559082031e+00,5.452009201049804688e+00
2.160000085830688477e+00,6.236289024353027344e+00
2.200000047683715820e+00,6.382400512695312500e+00
2.240000009536743164e+00,7.203926563262939453e+00
2.279999971389770508e+00,8.158311843872070312e+00
2.319999933242797852e+00,9.330644607543945312e+00
2.360000133514404297e+00,1.045159721374511719e+01
2.400000095367431641e+00,1.151171112060546875e+01
2.440000057220458984e+00,1.270855903625488281e+01
2.480000019073486328e+00,1.410791397094726562e+01
2.519999980926513672e+00,1.579774665832519531e+01
2.559999942779541016e+00,1.764007568359375000e+01
2.599999904632568359e+00,1.929121017456054688e+01
2.639999866485595703e+00,1.947823143005371094e+01
2.679999828338623047e+00,2.110968208312988281e+01
2.720000028610229492e+00,2.285914421081542969e+01
2.759999990463256836e+00,2.474417877197265625e+01
2.799999952316284180e+00,2.676520538330078125e+01
2.840000152587890625e+00,2.884484863281250000e+01
2.880000114440917969e+00,3.062880706787109375e+01
2.920000076293945312e+00,3.248943328857421875e+01
2.960000038146972656e+00,3.445602416992187500e+01
3.000000000000000000e+00,3.650752639770507812e+01
3.039999961853027344e+00,3.748887252807617188e+01
3.079999923706054688e+00,3.945920181274414062e+01
3.119999885559082031e+00,4.148931121826171875e+01
3.159999847412109375e+00,4.313286972045898438e+01
3.199999809265136719e+00,4.481860733032226562e+01
3.240000009536743164e+00,4.654846572875976562e+01
3.279999971389770508e+00,4.765170288085937500e+01
3.319999933242797852e+00,5.046442413330078125e+01
3.360000133514404297e+00,5.342320251464843750e+01
3.400000095367431641e+00,5.651778411865234375e+01
3.440000057220458984e+00,5.869718933105468750e+01
3.480000019073486328e+00,6.019158172607421875e+01
3.519999980926513672e+00,6.017634582519531250e+01
3.559999942779541016e+00,6.169184494018554688e+01
3.599999904632568359e+00,6.323675918579101562e+01
3.639999866485595703e+00,6.479524230957031250e+01
3.679999828338623047e+00,6.637229156494140625e+01
3.719999790191650391e+00,6.715486907958984375e+01
3.759999752044677734e+00,6.877368164062500000e+01
3.800000190734863281e+00,7.017765808105468750e+01
3.840000152587890625e+00,7.142133331298828125e+01
3.880000114440917969e+00,7.266646575927734375e+01
3.920000076293945312e+00,7.425959777832031250e+01
3.960000038146972656e+00,7.598697662353515625e+01
4.000000000000000000e+00,7.727046203613281250e+01
4.039999961853027344e+00,7.895268249511718750e+01
4.079999923706054688e+00,8.065422058105468750e+01
4.119999885559082031e+00,8.238111114501953125e+01
4.159999847412109375e+00,8.410591888427734375e+01
4.199999809265136719e+00,8.556680297851562500e+01
4.239999771118164062e+00,8.703424072265625000e+01
4.279999732971191406e+00,8.851187133789062500e+01
4.320000171661376953e+00,8.851551818847656250e+01
4.360000133514404297e+00,8.936035156250000000e+01
4.400000095367431641e+00,9.061674499511718750e+01
4.440000057220458984e+00,9.187702941894531250e+01
4.480000019073486328e+00,9.314521026611328125e+01
4.519999980926513672e+00,9.442031097412109375e+01
4.559999942779541016e+00,9.569664764404296875e+01
4.599999904632568359e+00,9.576130676269531250e+01
4.639999866485595703e+00,9.682461547851562500e+01
4.679999828338623047e+00,9.783529663085937500e+01
4.719999790191650391e+00,9.884442901611328125e+01
4.759999752044677734e+00,9.985355377197265625e+01
4.799999713897705078e+00,1.008598175048828125e+02
4.840000152587890625e+00,1.018609237670898438e+02
4.880000114440917969e+00,1.028598937988281250e+02
4.920000076293945312e+00,1.033435821533203125e+02
