# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,2.680579423904418945e-01
1.639999985694885254e+00,3.648693561553955078e-01
1.680000066757202148e+00,4.952392876148223877e-01
1.720000028610229492e+00,6.704328656196594238e-01
1.759999990463256836e+00,8.931036591529846191e-01
1.799999952316284180e+00,1.112937569618225098e+00
1.840000033378601074e+00,6.864229440689086914e-01
1.879999995231628418e+00,8.597683906555175781e-01
1.920000076293945312e+00,1.101275920867919922e+00
1.960000038146972656e+00,1.368391036987304688e+00
2.000000000000000000e+00,1.671068310737609863e+00
2.039999961853027344e+00,2.022850751876831055e+00
2.079999923706054688e+00,2.446142673492431641e+00
2.119999885559082031e+00,2.115243196487426758e+00
2.160000085830688477e+00,2.438223838806152344e+00
2.200000047683715820e+00,2.488936185836791992e+00
2.240000009536743164e+00,2.826832532882690430e+00
2.279999971389770508e+00,3.220180749893188477e+00
2.319999933242797852e+00,3.701998233795166016e+00
2.360000133514404297e+00,4.166402339935302734e+00
2.400000095367431641e+00,4.609619140625000000e+00
2.440000057220458984e+00,5.112229824066162109e+00
2.480000019073486328e+00,5.702924251556396484e+00
2.519999980926513672e+00,6.421792030334472656e+00
2.559999942779541016e+00,7.209190368652343750e+00
2.599999904632568359e+00,7.924495220184326172e+00
2.639999866485595703e+00,7.988379955291748047e+00
2.679999828338623047e+00,8.699378013610839844e+00
2.720000028610229492e+00,9.463647842407226562e+00
2.759999990463256836e+00,1.028932380676269531e+01
2.799999952316284180e+00,1.117673587799072266e+01
2.840000152587890625e+00,1.209307575225830078e+01
2.880000114440917969e+00,1.288953495025634766e+01
2.920000076293945312e+00,1.372135925292968750e+01
2.960000038146972656e+00,1.460210323333740234e+01
3.000000000000000000e+00,1.554633235931396484e+01
3.039999961853027344e+00,1.601832580566406250e+01
3.079999923706054688e+00,1.695520019531250000e+01
3.119999885559082031e+00,1.792452239990234375e+01
3.159999847412109375e+00,1.873384284973144531e+01
3.199999809265136719e+00,1.956736946105957031e+01
3.240000009536743164e+00,2.042627906799316406e+01
