# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,7.007402777671813965e-01
1.639999985694885254e+00,9.507950544357299805e-01
1.680000066757202148e+00,1.286506772041320801e+00
1.720000028610229492e+00,1.736307382583618164e+00
1.759999990463256836e+00,2.306004762649536133e+00
1.799999952316284180e+00,2.862597227096557617e+00
1.840000033378601074e+00,1.757944583892822266e+00
1.879999995231628418e+00,2.197874546051025391e+00
1.920000076293945312e+00,2.816562175750732422e+00
1.960000038146972656e+00,3.501558303833007812e+00
2.000000000000000000e+00,4.280154705047607422e+00
2.039999961853027344e+00,5.188147068023681641e+00
2.079999923706054688e+00,6.282186508178710938e+00
2.119999885559082031e+00,5.948862075805664062e+00
2.160000085830688477e+00,6.837752342224121094e+00
2.200000047683715820e+00,7.194745063781738281e+00
2.240000009536743164e+00,8.171701431274414062e+00
2.279999971389770508e+00,9.308572769165039062e+00
2.319999933242797852e+00,1.070829296112060547e+01
2.360000133514404297e+00,1.206453990936279297e+01
2.400000095367431641e+00,1.336093997955322266e+01
2.440000057220458984e+00,1.481508731842041016e+01
2.480000019073486328e+00,1.649440383911132812e+01
2.519999980926513672e+00,1.848126220703125000e+01
2.559999942779541016e+00,2.064692497253417969e+01
2.599999904632568359e+00,2.258969497680664062e+01
2.639999866485595703e+00,2.316721343994140625e+01
2.679999828338623047e+00,2.511015701293945312e+01
2.720000028610229492e+00,2.719543075561523438e+01
2.759999990463256836e+00,2.943943214416503906e+01
2.799999952316284180e+00,3.184565734863281250e+01
2.840000152587890625e+00,3.432370376586914062e+01
2.880000114440917969e+00,3.644976806640625000e+01
2.920000076293945312e+00,3.866622924804687500e+01
2.960000038146972656e+00,4.100500488281250000e+01
3.000000000000000000e+00,4.338752746582031250e+01
3.039999961853027344e+00,4.472796630859375000e+01
3.079999923706054688e+00,4.700240325927734375e+01
3.119999885559082031e+00,4.933197402954101562e+01
3.159999847412109375e+00,5.119337463378906250e+01
3.199999809265136719e+00,5.309754180908203125e+01
3.240000009536743164e+00,5.504653930664062500e+01
3.279999971389770508e+00,5.641741943359375000e+01
3.319999933242797852e+00,5.989841461181640625e+01
3.360000133514404297e+00,6.356577301025390625e+01
3.400000095367431641e+00,6.740586853027343750e+01
3.440000057220458984e+00,7.003367614746093750e+01
3.480000019073486328e+00,7.180065917968750000e+01
3.519999980926513672e+00,6.873231506347656250e+01
3.559999942779541016e+00,7.048866271972656250e+01
3.599999904632568359e+00,7.231628417968750000e+01
3.639999866485595703e+00,7.416743469238281250e+01
3.679999828338623047e+00,7.604434204101562500e+01
3.719999790191650391e+00,7.542919158935546875e+01
3.759999752044677734e+00,7.735227203369140625e+01
3.800000190734863281e+00,7.902169036865234375e+01
3.840000152587890625e+00,8.051817321777343750e+01
3.880000114440917969e+00,8.201637268066406250e+01
3.920000076293945312e+00,8.392951965332031250e+01
3.960000038146972656e+00,8.599576568603515625e+01
4.000000000000000000e+00,8.674257659912109375e+01
4.039999961853027344e+00,8.875593566894531250e+01
4.079999923706054688e+00,9.079108428955078125e+01
4.119999885559082031e+00,9.283879852294921875e+01
4.159999847412109375e+00,9.488511657714843750e+01
4.199999809265136719e+00,9.663427734375000000e+01
4.239999771118164062e+00,9.839141845703125000e+01
4.279999732971191406e+00,1.001618804931640625e+02
4.320000171661376953e+00,9.744199371337890625e+01
4.360000133514404297e+00,9.763632202148437500e+01
4.400000095367431641e+00,9.916633605957031250e+01
4.440000057220458984e+00,1.007051086425781250e+02
4.480000019073486328e+00,1.022625885009765625e+02
4.519999980926513672e+00,1.038424072265625000e+02
4.559999942779541016e+00,1.054184875488281250e+02
4.599999904632568359e+00,1.037077178955078125e+02
4.639999866485595703e+00,1.051565551757812500e+02
4.679999828338623047e+00,1.064493255615234375e+02
4.719999790191650391e+00,1.077301712036132812e+02
4.759999752044677734e+00,1.090107498168945312e+02
4.799999713897705078e+00,1.102916259765625000e+02
4.840000152587890625e+00,1.115651092529296875e+02
4.880000114440917969e+00,1.128353347778320312e+02
4.920000076293945312e+00,1.125934906005859375e+02
