# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,5.547993183135986328e-01
1.639999985694885254e+00,7.564042806625366211e-01
1.680000066757202148e+00,1.028719186782836914e+00
1.720000028610229492e+00,1.395786762237548828e+00
1.759999990463256836e+00,1.861984372138977051e+00
1.799999952316284180e+00,2.312511444091796875e+00
1.840000033378601074e+00,1.264056921005249023e+00
1.879999995231628418e+00,1.594300508499145508e+00
1.920000076293945312e+00,2.062639474868774414e+00
1.960000038146972656e+00,2.580775737762451172e+00
2.000000000000000000e+00,3.172712326049804688e+00
2.039999961853027344e+00,3.868701934814453125e+00
2.079999923706054688e+00,4.713085174560546875e+00
2.119999885559082031e+00,4.213550090789794922e+00
2.160000085830688477e+00,4.867865562438964844e+00
2.200000047683715820e+00,5.028665542602539062e+00
2.240000009536743164e+00,5.727357864379882812e+00
2.279999971389770508e+00,6.543495178222656250e+00
2.319999933242797852e+00,7.548577785491943359e+00
2.360000133514404297e+00,8.516572952270507812e+00
2.400000095367431641e+00,9.437475204467773438e+00
2.440000057220458984e+00,1.048062324523925781e+01
2.480000019073486328e+00,1.170252609252929688e+01
2.519999980926513672e+00,1.317992973327636719e+01
2.559999942779541016e+00,1.479972457885742188e+01
2.599999904632568359e+00,1.625718688964843750e+01
2.639999866485595703e+00,1.647814178466796875e+01
2.679999828338623047e+00,1.792493820190429688e+01
2.720000028610229492e+00,1.948149299621582031e+01
2.759999990463256836e+00,2.116405105590820312e+01
2.799999952316284180e+00,2.297385787963867188e+01
2.840000152587890625e+00,2.484142875671386719e+01
2.880000114440917969e+00,2.644166755676269531e+01
2.920000076293945312e+00,2.811575126647949219e+01
2.960000038146972656e+00,2.988897895812988281e+01
3.000000000000000000e+00,3.173965454101562500e+01
3.039999961853027344e+00,3.266196441650390625e+01
3.079999923706054688e+00,3.445039367675781250e+01
3.119999885559082031e+00,3.629310226440429688e+01
3.159999847412109375e+00,3.777799987792968750e+01
3.199999809265136719e+00,3.930308914184570312e+01
3.240000009536743164e+00,4.087015533447265625e+01
3.279999971389770508e+00,4.188901901245117188e+01
3.319999933242797852e+00,4.468846511840820312e+01
3.360000133514404297e+00,4.764864730834960938e+01
3.400000095367431641e+00,5.075921630859375000e+01
3.440000057220458984e+00,5.281108856201171875e+01
3.480000019073486328e+00,5.414415359497070312e+01
3.519999980926513672e+00,5.411348342895507812e+01
3.559999942779541016e+00,5.545792770385742188e+01
3.599999904632568359e+00,5.682690429687500000e+01
3.639999866485595703e+00,5.820606231689453125e+01
3.679999828338623047e+00,5.959976959228515625e+01
3.719999790191650391e+00,6.028855133056640625e+01
3.759999752044677734e+00,6.172639846801757812e+01
3.800000190734863281e+00,6.295910263061523438e+01
3.840000152587890625e+00,6.403798675537109375e+01
3.880000114440917969e+00,6.511579895019531250e+01
3.920000076293945312e+00,6.662543487548828125e+01
3.960000038146972656e+00,6.830651855468750000e+01
4.000000000000000000e+00,6.959327697753906250e+01
4.039999961853027344e+00,7.124374389648437500e+01
4.079999923706054688e+00,7.291703796386718750e+01
4.119999885559082031e+00,7.462686920166015625e+01
4.159999847412109375e+00,7.633955383300781250e+01
4.199999809265136719e+00,7.780403137207031250e+01
4.239999771118164062e+00,7.927873992919921875e+01
4.279999732971191406e+00,8.076713562011718750e+01
4.320000171661376953e+00,8.091328430175781250e+01
4.360000133514404297e+00,8.174150848388671875e+01
4.400000095367431641e+00,8.291750335693359375e+01
4.440000057220458984e+00,8.409758758544921875e+01
4.480000019073486328e+00,8.528553009033203125e+01
4.519999980926513672e+00,8.647946166992187500e+01
4.559999942779541016e+00,8.767514038085937500e+01
4.599999904632568359e+00,8.775352478027343750e+01
4.639999866485595703e+00,8.874259948730468750e+01
4.679999828338623047e+00,8.968369293212890625e+01
4.719999790191650391e+00,9.062570190429687500e+01
4.759999752044677734e+00,9.156799316406250000e+01
4.799999713897705078e+00,9.250772094726562500e+01
4.840000152587890625e+00,9.344284057617187500e+01
4.880000114440917969e+00,9.437623596191406250e+01
4.920000076293945312e+00,9.484115600585937500e+01
4.960000038146972656e+00,9.577381896972656250e+01
5.000000000000000000e+00,9.668133544921875000e+01
5.039999961853027344e+00,9.764627075195312500e+01
5.079999923706054688e+00,9.853911590576171875e+01
5.119999885559082031e+00,9.942661285400390625e+01
5.159999847412109375e+00,1.003122482299804688e+02
5.199999809265136719e+00,1.011940307617187500e+02
5.239999771118164062e+00,1.020727539062500000e+02
5.279999732971191406e+00,1.029510803222656250e+02
5.320000171661376953e+00,1.038372955322265625e+02
5.360000133514404297e+00,1.047234649658203125e+02
5.400000095367431641e+00,1.056073226928710938e+02
5.440000057220458984e+00,1.064881134033203125e+02
5.480000019073486328e+00,1.073686828613281250e+02
5.519999980926513672e+00,1.082403640747070312e+02
5.559999942779541016e+00,1.090367584228515625e+02
5.599999904632568359e+00,1.097537612915039062e+02
5.639999866485595703e+00,1.104677886962890625e+02
5.679999828338623047e+00,1.111800537109375000e+02
5.719999790191650391e+00,1.119012603759765625e+02
5.759999752044677734e+00,1.126207122802734375e+02
5.799999713897705078e+00,1.133282089233398438e+02
5.839999675750732422e+00,1.140243377685546875e+02
5.879999637603759766e+00,1.147189788818359375e+02
5.919999599456787109e+00,1.154011383056640625e+02
5.960000038146972656e+00,1.160815887451171875e+02
6.000000000000000000e+00,1.167013931274414062e+02
