# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,6.267099976539611816e-01
1.639999985694885254e+00,8.669802546501159668e-01
1.680000066757202148e+00,1.195165634155273438e+00
1.720000028610229492e+00,1.642168164253234863e+00
1.759999990463256836e+00,2.216590881347656250e+00
1.799999952316284180e+00,2.784469127655029297e+00
1.840000033378601074e+00,1.538698196411132812e+00
1.879999995231628418e+00,1.958392143249511719e+00
1.920000076293945312e+00,2.553224563598632812e+00
1.960000038146972656e+00,3.217523097991943359e+00
2.000000000000000000e+00,3.981402873992919922e+00
2.039999961853027344e+00,4.883552074432373047e+00
2.079999923706054688e+00,5.981990814208984375e+00
2.119999885559082031e+00,5.449456214904785156e+00
2.160000085830688477e+00,6.326370239257812500e+00
2.200000047683715820e+00,6.598199367523193359e+00
2.240000009536743164e+00,7.551824092864990234e+00
2.279999971389770508e+00,8.667526245117187500e+00
2.319999933242797852e+00,1.004133033752441406e+01
2.360000133514404297e+00,1.137495040893554688e+01
2.400000095367431641e+00,1.265321922302246094e+01
2.440000057220458984e+00,1.410057735443115234e+01
2.480000019073486328e+00,1.579198932647705078e+01
2.519999980926513672e+00,1.782933235168457031e+01
2.559999942779541016e+00,2.006741333007812500e+01
2.599999904632568359e+00,2.209351921081542969e+01
2.639999866485595703e+00,2.251437950134277344e+01
2.679999828338623047e+00,2.454109191894531250e+01
2.720000028610229492e+00,2.672545623779296875e+01
2.759999990463256836e+00,2.908823966979980469e+01
2.799999952316284180e+00,3.163266372680664062e+01
2.840000152587890625e+00,3.426255416870117188e+01
2.880000114440917969e+00,3.652845764160156250e+01
2.920000076293945312e+00,3.889649963378906250e+01
2.960000038146972656e+00,4.140488433837890625e+01
3.000000000000000000e+00,4.408635711669921875e+01
3.039999961853027344e+00,4.561309814453125000e+01
3.079999923706054688e+00,4.831248855590820312e+01
3.119999885559082031e+00,5.111262893676757812e+01
3.159999847412109375e+00,5.342718887329101562e+01
3.199999809265136719e+00,5.581498718261718750e+01
3.240000009536743164e+00,5.827948760986328125e+01
3.279999971389770508e+00,6.001527023315429688e+01
3.319999933242797852e+00,6.358148956298828125e+01
3.360000133514404297e+00,6.733152770996093750e+01
3.400000095367431641e+00,7.125653076171875000e+01
3.440000057220458984e+00,7.411279296875000000e+01
3.480000019073486328e+00,7.611182403564453125e+01
3.519999980926513672e+00,7.382556915283203125e+01
3.559999942779541016e+00,7.581810760498046875e+01
3.599999904632568359e+00,7.787936401367187500e+01
3.639999866485595703e+00,7.996643829345703125e+01
3.679999828338623047e+00,8.208271789550781250e+01
3.719999790191650391e+00,8.196958923339843750e+01
3.759999752044677734e+00,8.414609527587890625e+01
3.800000190734863281e+00,8.603886413574218750e+01
3.840000152587890625e+00,8.773194122314453125e+01
3.880000114440917969e+00,8.942765045166015625e+01
3.920000076293945312e+00,9.164540100097656250e+01
3.960000038146972656e+00,9.406345367431640625e+01
4.000000000000000000e+00,9.528199005126953125e+01
4.039999961853027344e+00,9.765467834472656250e+01
4.079999923706054688e+00,1.000582122802734375e+02
4.119999885559082031e+00,1.024905242919921875e+02
4.159999847412109375e+00,1.049263839721679688e+02
4.199999809265136719e+00,1.070205764770507812e+02
4.239999771118164062e+00,1.091283340454101562e+02
4.279999732971191406e+00,1.112551803588867188e+02
4.320000171661376953e+00,1.092315216064453125e+02
4.360000133514404297e+00,1.098018798828125000e+02
4.400000095367431641e+00,1.115872573852539062e+02
4.440000057220458984e+00,1.133830795288085938e+02
4.480000019073486328e+00,1.151987762451171875e+02
4.519999980926513672e+00,1.170267333984375000e+02
4.559999942779541016e+00,1.188535766601562500e+02
4.599999904632568359e+00,1.175504302978515625e+02
4.639999866485595703e+00,1.191866226196289062e+02
4.679999828338623047e+00,1.206770324707031250e+02
4.719999790191650391e+00,1.221660079956054688e+02
4.759999752044677734e+00,1.236557464599609375e+02
4.799999713897705078e+00,1.251455993652343750e+02
4.840000152587890625e+00,1.266284332275390625e+02
4.880000114440917969e+00,1.281086578369140625e+02
