# Start of Energy Bin (keV), Effective Area (cm^2)
1.600000023841857910e+00,5.587130188941955566e-01
1.639999985694885254e+00,7.759461402893066406e-01
1.680000066757202148e+00,1.073923587799072266e+00
1.720000028610229492e+00,1.481510281562805176e+00
1.759999990463256836e+00,2.007889032363891602e+00
1.799999952316284180e+00,2.537008285522460938e+00
1.840000033378601074e+00,1.411654591560363770e+00
1.879999995231628418e+00,1.800614118576049805e+00
1.920000076293945312e+00,2.341192245483398438e+00
1.960000038146972656e+00,2.942374706268310547e+00
2.000000000000000000e+00,3.628634214401245117e+00
2.039999961853027344e+00,4.432935237884521484e+00
2.079999923706054688e+00,5.408451557159423828e+00
2.119999885559082031e+00,4.575851440429687500e+00
2.160000085830688477e+00,5.319791793823242188e+00
2.200000047683715820e+00,5.412539958953857422e+00
2.240000009536743164e+00,6.192089080810546875e+00
2.279999971389770508e+00,7.104005336761474609e+00
2.319999933242797852e+00,8.220990180969238281e+00
2.360000133514404297e+00,9.299718856811523438e+00
2.400000095367431641e+00,1.033170509338378906e+01
2.440000057220458984e+00,1.151026725769042969e+01
2.480000019073486328e+00,1.290592384338378906e+01
2.519999980926513672e+00,1.461820411682128906e+01
2.559999942779541016e+00,1.650649642944335938e+01
2.599999904632568359e+00,1.823195648193359375e+01
2.639999866485595703e+00,1.831740951538085938e+01
2.679999828338623047e+00,2.003532409667968750e+01
2.720000028610229492e+00,2.189298439025878906e+01
2.759999990463256836e+00,2.390871429443359375e+01
2.799999952316284180e+00,2.608398818969726562e+01
2.840000152587890625e+00,2.833579444885253906e+01
2.880000114440917969e+00,3.029379653930664062e+01
2.920000076293945312e+00,3.233947753906250000e+01
2.960000038146972656e+00,3.451199340820312500e+01
3.000000000000000000e+00,3.697102355957031250e+01
3.039999961853027344e+00,3.832979583740234375e+01
3.079999923706054688e+00,4.093254089355468750e+01
3.119999885559082031e+00,4.365454101562500000e+01
3.159999847412109375e+00,4.599406051635742188e+01
3.199999809265136719e+00,4.842496871948242188e+01
3.240000009536743164e+00,5.095167541503906250e+01
3.279999971389770508e+00,5.268752670288085938e+01
3.319999933242797852e+00,5.510441589355468750e+01
3.360000133514404297e+00,5.760598754882812500e+01
3.400000095367431641e+00,6.019238662719726562e+01
3.440000057220458984e+00,6.257653045654296875e+01
3.480000019073486328e+00,6.449400329589843750e+01
3.519999980926513672e+00,6.334548187255859375e+01
3.559999942779541016e+00,6.527530670166015625e+01
3.599999904632568359e+00,6.726699829101562500e+01
3.639999866485595703e+00,6.928943634033203125e+01
3.679999828338623047e+00,7.134653472900390625e+01
3.719999790191650391e+00,7.176844024658203125e+01
3.759999752044677734e+00,7.388372802734375000e+01
3.800000190734863281e+00,7.576220703125000000e+01
3.840000152587890625e+00,7.747173309326171875e+01
3.880000114440917969e+00,7.919113159179687500e+01
3.920000076293945312e+00,8.120057678222656250e+01
3.960000038146972656e+00,8.332486724853515625e+01
4.000000000000000000e+00,8.454941558837890625e+01
4.039999961853027344e+00,8.663020324707031250e+01
4.079999923706054688e+00,8.873589324951171875e+01
4.119999885559082031e+00,9.086687469482421875e+01
4.159999847412109375e+00,9.299796295166015625e+01
4.199999809265136719e+00,9.482350158691406250e+01
4.239999771118164062e+00,9.665851593017578125e+01
4.279999732971191406e+00,9.850720977783203125e+01
4.320000171661376953e+00,9.725244140625000000e+01
4.360000133514404297e+00,9.799240112304687500e+01
4.400000095367431641e+00,9.966638946533203125e+01
4.440000057220458984e+00,1.013505935668945312e+02
4.480000019073486328e+00,1.030517120361328125e+02
4.519999980926513672e+00,1.047645568847656250e+02
4.559999942779541016e+00,1.064789581298828125e+02
4.599999904632568359e+00,1.057980194091796875e+02
4.639999866485595703e+00,1.073201065063476562e+02
4.679999828338623047e+00,1.087333068847656250e+02
4.719999790191650391e+00,1.101477355957031250e+02
4.759999752044677734e+00,1.115639953613281250e+02
4.799999713897705078e+00,1.129807128906250000e+02
4.840000152587890625e+00,1.143925399780273438e+02
4.880000114440917969e+00,1.158029937744140625e+02
4.920000076293945312e+00,1.161238708496093750e+02
4.960000038146972656e+00,1.175351104736328125e+02
5.000000000000000000e+00,1.189165039062500000e+02
