# Time (s), Energy (keV), RA (deg), Dec (deg)
3.376033410083099604e+08,2.969316052650777582e+00,1.709548583796041044e+02,3.943258164569884094e+00
3.376033411802988648e+08,2.579836303745771442e+00,1.709527362286057155e+02,3.942411209095016744e+00
3.376033412811526656e+08,2.372239818187839244e+00,1.708064424979507976e+02,3.930948021312073326e+00
3.376033414745709300e+08,1.115085606410666372e+02,1.708394671438152557e+02,3.914848646543559241e+00
3.376033416375087500e+08,4.223416385944648255e+01,1.708952103062035803e+02,3.832600416559448497e+00
3.376033418387621045e+08,2.146397939602822103e+00,1.709416749424863156e+02,3.852963757532114730e+00
3.376033419759517312e+08,1.995169612347933663e+00,1.709884346198444405e+02,4.001560356880712988e+00
3.376033422159643173e+08,1.963986745589397342e+00,1.708809075180820116e+02,3.958376511840132395e+00
3.376033426026510000e+08,1.764358604725066115e+00,1.709917328394846265e+02,3.910975258187721071e+00
3.376033430085246563e+08,1.759435929616863570e+00,1.709131509363687087e+02,3.893100367403071083e+00
3.376033430802972913e+08,1.763322819525482421e+00,1.709697426919101702e+02,3.989988503693542299e+00
3.376033432818650603e+08,1.992816373665680318e+00,1.709325119086250311e+02,4.001627267005720689e+00
3.376033433098204136e+08,1.902712057860257211e+00,1.709211084407288297e+02,3.995572281927055158e+00
3.376033437849109769e+08,2.261182995634556381e+00,1.709488756260654725e+02,3.925857675305246985e+00
3.376033439527673125e+08,2.221200235312967397e+00,1.709929337291135596e+02,3.893081186913703196e+00
3.376033439843827486e+08,2.249335821729105511e+00,1.708411949184340983e+02,3.901643467498192130e+00
3.376033440750777125e+08,3.015227517838375171e+00,1.709997465674562704e+02,3.822314631197290868e+00
3.376033443621569276e+08,1.664751493368762381e+00,1.708421036402897357e+02,3.954618264112785386e+00
3.376033444149869680e+08,1.924605567802226025e+00,1.708851201283455623e+02,3.856486914611493511e+00
3.376033445645920038e+08,2.150189960222902652e+00,1.710240484080026420e+02,3.836578533738125962e+00
3.376033449070549607e+08,2.361586557174254697e+00,1.710066945919448358e+02,3.873508568560515730e+00
3.376033452154117823e+08,1.919347997755939339e+00,1.709927233705209915e+02,4.015698335695122800e+00
3.376033452990518808e+08,2.432964603510912927e+00,1.709518783846485519e+02,3.861348319008671925e+00
3.376033453075311184e+08,2.341721206667235045e+00,1.709259087420261096e+02,3.890020170790913223e+00
3.376033454914414287e+08,1.850025479803899531e+00,1.710392100616084576e+02,3.918361832214152685e+00
3.376033455922772884e+08,2.215908590394767952e+00,1.709067092616934644e+02,3.997046718593380010e+00
3.376033456956664920e+08,3.131764933436731901e+00,1.708792411124259161e+02,3.890798270132994396e+00
3.376033457342205644e+08,8.528388736787778157e+01,1.709781923029454447e+02,3.896687982409330342e+00
3.376033459214054346e+08,1.695563182297243454e+00,1.709879439167674775e+02,4.023584566381860128e+00
3.376033460624760389e+08,2.681016840192155470e+00,1.709640051546053883e+02,3.989470210819777929e+00
