# Time (s), Energy (keV), RA (deg), Dec (deg)
3.376033410338478684e+08,1.892093411114561752e+00,1.708813696631634400e+02,3.901237278378256068e+00
3.376033412066166997e+08,1.828389982364006849e+00,1.710221919578551706e+02,3.838066477693214296e+00
3.376033412979284525e+08,1.960842533714525215e+00,1.708631634923301021e+02,3.899323126124085714e+00
3.376033413055643439e+08,2.083996465172042623e+00,1.708916656955284168e+02,3.987740363210785066e+00
3.376033413151010871e+08,2.138893141186639646e+00,1.709120667548524750e+02,3.887105326372739977e+00
3.376033413203203082e+08,2.147127156753203536e+00,1.710038925191239230e+02,3.816697391321575594e+00
3.376033414564538598e+08,1.942675794462707994e+00,1.709949405349024403e+02,3.959908490009946824e+00
3.376033414767820835e+08,1.847745462774790459e+00,1.708713227690927852e+02,3.866447823897401825e+00
3.376033415905685425e+08,2.001336606447491118e+00,1.708558695277750985e+02,3.962839075539666744e+00
3.376033418559787273e+08,1.921016810845952882e+00,1.709096898556013855e+02,3.848180979268780888e+00
3.376033419888682961e+08,2.025249361710126372e+00,1.709520300090333080e+02,3.845906868858818051e+00
3.376033420151327848e+08,2.056804436901642053e+00,1.709979470037599754e+02,3.869334047147478639e+00
3.376033421269341707e+08,2.315051611053025038e+00,1.709290137101194773e+02,3.844965433950815470e+00
3.376033421517562270e+08,2.191068436087850735e+00,1.709352473925864331e+02,3.902676598297230903e+00
3.376033423378269076e+08,1.603771122863016485e+00,1.708755973300481799e+02,3.970873091155675549e+00
3.376033423496515751e+08,2.227130745839657866e+00,1.709331599094762169e+02,3.935451766881519653e+00
3.376033423596159220e+08,3.176395101162973855e+00,1.708899908352967429e+02,3.829816166827695323e+00
3.376033424252022505e+08,2.146587532755876104e+00,1.709701850593772861e+02,3.920506616833668634e+00
3.376033424665417075e+08,1.620269108465620000e+00,1.708652599042315785e+02,3.801992795951223414e+00
3.376033424922595620e+08,2.204953818984038527e+00,1.709247677623108927e+02,3.771067201092515031e+00
3.376033431415277123e+08,2.334057960098123718e+00,1.710360965954666881e+02,3.879904546641640639e+00
3.376033431800537705e+08,1.798373212596468429e+00,1.708567055062891313e+02,3.861792042934921287e+00
3.376033433436019421e+08,2.231974090330127947e+00,1.709855846923180422e+02,3.979237697759753889e+00
3.376033433716430664e+08,1.886289326439441805e+00,1.709703619440943498e+02,3.978722619636101854e+00
3.376033436376078725e+08,2.337420214719590383e+00,1.709718352183875822e+02,3.844042806328118456e+00
3.376033437457081676e+08,2.982736131782967703e+00,1.710263764781512066e+02,3.848501498899632445e+00
3.376033438265733719e+08,3.807943402413191336e+01,1.708539154221375611e+02,3.859134128607384362e+00
3.376033439051604867e+08,1.635940054546421774e+00,1.708614010896856144e+02,3.875926421279554557e+00
3.376033440486897230e+08,1.612388339803894954e+00,1.709808776118782703e+02,3.992738891596511408e+00
3.376033441136171818e+08,2.106536711395516015e+00,1.709943790290633672e+02,3.880367016759334042e+00
3.376033441307652593e+08,1.695681679499072336e+00,1.709522116050846421e+02,4.008687365949986869e+00
3.376033443213609457e+08,6.917788067673041219e+00,1.709193942616557536e+02,3.831333330762940470e+00
3.376033445848721266e+08,2.113699901272358517e+00,1.708092766559330187e+02,3.915421362823170881e+00
3.376033446030998826e+08,4.034401960238099605e+00,1.709893497172077730e+02,3.934807235465309638e+00
3.376033446054979563e+08,2.333472494432138777e+00,1.709169560225058433e+02,3.855073102767874182e+00
3.376033446809580326e+08,1.652210679069174626e+00,1.709229790826071280e+02,3.785648192725892702e+00
3.376033447402591109e+08,1.802136133799137507e+00,1.709908593469213542e+02,3.855081743016133267e+00
3.376033447753284574e+08,1.964966539352551944e+00,1.709591104309149046e+02,3.829271776987227316e+00
3.376033447958899736e+08,2.218937160798846620e+00,1.708998784724275311e+02,3.770518246644773974e+00
3.376033448110806942e+08,1.790339704887474515e+00,1.708628537213830327e+02,3.901114204875322233e+00
3.376033450572183728e+08,2.093695134549593106e+00,1.708983471932661189e+02,3.768179686804155271e+00
3.376033452832095623e+08,2.191435965373250028e+00,1.708797459095064255e+02,3.866671715314832891e+00
3.376033453404124379e+08,2.084721420776097123e+00,1.708927619900705395e+02,3.762911740678029915e+00
3.376033454104096889e+08,1.843202990781521722e+00,1.709368188889842770e+02,4.019897169127486514e+00
3.376033455498768091e+08,2.284713991395348920e+00,1.709302632352827516e+02,4.002784477861443868e+00
3.376033455693950057e+08,2.301426425615446636e+00,1.709686099233806829e+02,3.856632638714723171e+00
3.376033456266906261e+08,2.162334379774226711e+00,1.707998703659850435e+02,3.917797774937626709e+00
3.376033456445379257e+08,1.832622945500008038e+00,1.708950697843020805e+02,3.902204108096550161e+00
3.376033459207207561e+08,2.287358068867479943e+00,1.709060303101259137e+02,3.783803642447562510e+00
3.376033459653221369e+08,1.616658636433773610e+00,1.710148933221331902e+02,3.837039142643032363e+00
3.376033459982742071e+08,2.155027261146954309e+00,1.708742513403519467e+02,3.803961039777544961e+00
3.376033460010191202e+08,2.283820902091929117e+00,1.710007121270310790e+02,3.816234921290879711e+00
3.376033460265188217e+08,2.663725793415079934e+01,1.709245032945879927e+02,4.000358823709694533e+00
3.376033461919429898e+08,1.272113611962064113e+02,1.709924447534117462e+02,3.871956915916420883e+00
3.376033462955006361e+08,2.560732688011121194e+00,1.708372513716034575e+02,3.931981311822043690e+00
3.376033464269434810e+08,2.472223518280479038e+00,1.708876939331501603e+02,3.924633066030296380e+00
3.376033465195940137e+08,5.088460295361820585e+01,1.710379634428719271e+02,3.867490208721411360e+00
3.376033466539773345e+08,1.861675272568990014e+00,1.709598455980137999e+02,3.901998801445697662e+00
3.376033467076749206e+08,2.524905767353093911e+00,1.708522681046159732e+02,3.841987125660451419e+00
3.376033467240313888e+08,2.189108327857106406e+00,1.708818683582538256e+02,3.977584922681709489e+00
3.376033470957716107e+08,2.131374897491753906e+00,1.709666973434725890e+02,3.896934168178373792e+00
3.376033473475227952e+08,2.049919854620545490e+00,1.709821592157148586e+02,3.968279460275773385e+00
3.376033474307770729e+08,1.715933483895950351e+00,1.709616794919967333e+02,3.815489960935488867e+00
3.376033474380892515e+08,1.806555038306920213e+00,1.708248999142179230e+02,3.951650901345386213e+00
3.376033474386296868e+08,2.145358595788689371e+00,1.709431505281706904e+02,3.933639102451161662e+00
3.376033475885747671e+08,2.387151774511532931e+00,1.709917184220548734e+02,3.979035560036463082e+00
3.376033476766086221e+08,1.524336080228097146e+01,1.709521376663334422e+02,3.896796946337869993e+00
